Created as New Dataset,
cm-1,A
4000.00,0.3650
3999.00,0.3647
3998.00,0.3644
3997.00,0.3641
3996.00,0.3638
3995.00,0.3634
3994.00,0.3630
3993.00,0.3627
3992.00,0.3625
3991.00,0.3622
3990.00,0.3618
3989.00,0.3615
3988.00,0.3611
3987.00,0.3608
3986.00,0.3605
3985.00,0.3602
3984.00,0.3599
3983.00,0.3597
3982.00,0.3595
3981.00,0.3592
3980.00,0.3590
3979.00,0.3588
3978.00,0.3586
3977.00,0.3583
3976.00,0.3580
3975.00,0.3577
3974.00,0.3574
3973.00,0.3570
3972.00,0.3566
3971.00,0.3562
3970.00,0.3559
3969.00,0.3557
3968.00,0.3555
3967.00,0.3553
3966.00,0.3551
3965.00,0.3549
3964.00,0.3546
3963.00,0.3545
3962.00,0.3543
3961.00,0.3542
3960.00,0.3540
3959.00,0.3538
3958.00,0.3535
3957.00,0.3533
3956.00,0.3531
3955.00,0.3530
3954.00,0.3530
3953.00,0.3529
3952.00,0.3528
3951.00,0.3527
3950.00,0.3525
3949.00,0.3524
3948.00,0.3522
3947.00,0.3522
3946.00,0.3522
3945.00,0.3522
3944.00,0.3522
3943.00,0.3521
3942.00,0.3521
3941.00,0.3520
3940.00,0.3519
3939.00,0.3517
3938.00,0.3515
3937.00,0.3513
3936.00,0.3512
3935.00,0.3511
3934.00,0.3510
3933.00,0.3509
3932.00,0.3509
3931.00,0.3509
3930.00,0.3509
3929.00,0.3508
3928.00,0.3507
3927.00,0.3505
3926.00,0.3505
3925.00,0.3505
3924.00,0.3504
3923.00,0.3504
3922.00,0.3504
3921.00,0.3503
3920.00,0.3503
3919.00,0.3503
3918.00,0.3502
3917.00,0.3501
3916.00,0.3500
3915.00,0.3500
3914.00,0.3500
3913.00,0.3501
3912.00,0.3501
3911.00,0.3501
3910.00,0.3501
3909.00,0.3501
3908.00,0.3501
3907.00,0.3502
3906.00,0.3503
3905.00,0.3503
3904.00,0.3504
3903.00,0.3504
3902.00,0.3504
3901.00,0.3504
3900.00,0.3504
3899.00,0.3503
3898.00,0.3503
3897.00,0.3501
3896.00,0.3500
3895.00,0.3498
3894.00,0.3496
3893.00,0.3494
3892.00,0.3492
3891.00,0.3491
3890.00,0.3489
3889.00,0.3487
3888.00,0.3486
3887.00,0.3486
3886.00,0.3487
3885.00,0.3488
3884.00,0.3488
3883.00,0.3487
3882.00,0.3486
3881.00,0.3484
3880.00,0.3483
3879.00,0.3482
3878.00,0.3481
3877.00,0.3481
3876.00,0.3481
3875.00,0.3481
3874.00,0.3481
3873.00,0.3481
3872.00,0.3481
3871.00,0.3481
3870.00,0.3482
3869.00,0.3483
3868.00,0.3482
3867.00,0.3481
3866.00,0.3479
3865.00,0.3476
3864.00,0.3474
3863.00,0.3472
3862.00,0.3470
3861.00,0.3468
3860.00,0.3466
3859.00,0.3466
3858.00,0.3466
3857.00,0.3468
3856.00,0.3468
3855.00,0.3467
3854.00,0.3466
3853.00,0.3466
3852.00,0.3467
3851.00,0.3467
3850.00,0.3465
3849.00,0.3462
3848.00,0.3458
3847.00,0.3455
3846.00,0.3452
3845.00,0.3450
3844.00,0.3449
3843.00,0.3450
3842.00,0.3451
3841.00,0.3451
3840.00,0.3452
3839.00,0.3453
3838.00,0.3455
3837.00,0.3456
3836.00,0.3457
3835.00,0.3457
3834.00,0.3455
3833.00,0.3454
3832.00,0.3452
3831.00,0.3450
3830.00,0.3448
3829.00,0.3446
3828.00,0.3444
3827.00,0.3442
3826.00,0.3441
3825.00,0.3440
3824.00,0.3439
3823.00,0.3439
3822.00,0.3439
3821.00,0.3440
3820.00,0.3441
3819.00,0.3440
3818.00,0.3438
3817.00,0.3435
3816.00,0.3433
3815.00,0.3430
3814.00,0.3427
3813.00,0.3423
3812.00,0.3419
3811.00,0.3417
3810.00,0.3415
3809.00,0.3413
3808.00,0.3411
3807.00,0.3410
3806.00,0.3410
3805.00,0.3410
3804.00,0.3409
3803.00,0.3408
3802.00,0.3408
3801.00,0.3407
3800.00,0.3406
3799.00,0.3403
3798.00,0.3400
3797.00,0.3398
3796.00,0.3396
3795.00,0.3394
3794.00,0.3391
3793.00,0.3388
3792.00,0.3386
3791.00,0.3384
3790.00,0.3382
3789.00,0.3381
3788.00,0.3379
3787.00,0.3377
3786.00,0.3375
3785.00,0.3373
3784.00,0.3372
3783.00,0.3371
3782.00,0.3370
3781.00,0.3369
3780.00,0.3367
3779.00,0.3365
3778.00,0.3363
3777.00,0.3361
3776.00,0.3359
3775.00,0.3357
3774.00,0.3355
3773.00,0.3354
3772.00,0.3352
3771.00,0.3351
3770.00,0.3350
3769.00,0.3350
3768.00,0.3349
3767.00,0.3348
3766.00,0.3346
3765.00,0.3345
3764.00,0.3344
3763.00,0.3342
3762.00,0.3340
3761.00,0.3339
3760.00,0.3338
3759.00,0.3336
3758.00,0.3335
3757.00,0.3334
3756.00,0.3334
3755.00,0.3334
3754.00,0.3335
3753.00,0.3336
3752.00,0.3336
3751.00,0.3336
3750.00,0.3336
3749.00,0.3337
3748.00,0.3337
3747.00,0.3336
3746.00,0.3335
3745.00,0.3334
3744.00,0.3331
3743.00,0.3328
3742.00,0.3323
3741.00,0.3319
3740.00,0.3317
3739.00,0.3315
3738.00,0.3313
3737.00,0.3310
3736.00,0.3308
3735.00,0.3307
3734.00,0.3307
3733.00,0.3307
3732.00,0.3306
3731.00,0.3303
3730.00,0.3300
3729.00,0.3296
3728.00,0.3292
3727.00,0.3289
3726.00,0.3287
3725.00,0.3285
3724.00,0.3284
3723.00,0.3283
3722.00,0.3283
3721.00,0.3282
3720.00,0.3281
3719.00,0.3280
3718.00,0.3279
3717.00,0.3278
3716.00,0.3277
3715.00,0.3276
3714.00,0.3275
3713.00,0.3274
3712.00,0.3274
3711.00,0.3274
3710.00,0.3274
3709.00,0.3273
3708.00,0.3272
3707.00,0.3270
3706.00,0.3269
3705.00,0.3268
3704.00,0.3266
3703.00,0.3265
3702.00,0.3264
3701.00,0.3264
3700.00,0.3264
3699.00,0.3265
3698.00,0.3265
3697.00,0.3265
3696.00,0.3264
3695.00,0.3264
3694.00,0.3264
3693.00,0.3265
3692.00,0.3267
3691.00,0.3268
3690.00,0.3270
3689.00,0.3271
3688.00,0.3273
3687.00,0.3273
3686.00,0.3272
3685.00,0.3271
3684.00,0.3269
3683.00,0.3268
3682.00,0.3266
3681.00,0.3264
3680.00,0.3262
3679.00,0.3262
3678.00,0.3262
3677.00,0.3262
3676.00,0.3264
3675.00,0.3267
3674.00,0.3270
3673.00,0.3271
3672.00,0.3271
3671.00,0.3270
3670.00,0.3269
3669.00,0.3267
3668.00,0.3265
3667.00,0.3262
3666.00,0.3259
3665.00,0.3257
3664.00,0.3255
3663.00,0.3255
3662.00,0.3255
3661.00,0.3255
3660.00,0.3256
3659.00,0.3258
3658.00,0.3259
3657.00,0.3262
3656.00,0.3264
3655.00,0.3267
3654.00,0.3270
3653.00,0.3272
3652.00,0.3275
3651.00,0.3278
3650.00,0.3281
3649.00,0.3283
3648.00,0.3284
3647.00,0.3285
3646.00,0.3286
3645.00,0.3285
3644.00,0.3284
3643.00,0.3282
3642.00,0.3281
3641.00,0.3280
3640.00,0.3279
3639.00,0.3279
3638.00,0.3280
3637.00,0.3281
3636.00,0.3283
3635.00,0.3284
3634.00,0.3286
3633.00,0.3288
3632.00,0.3291
3631.00,0.3294
3630.00,0.3298
3629.00,0.3302
3628.00,0.3307
3627.00,0.3311
3626.00,0.3314
3625.00,0.3316
3624.00,0.3319
3623.00,0.3321
3622.00,0.3322
3621.00,0.3323
3620.00,0.3323
3619.00,0.3321
3618.00,0.3320
3617.00,0.3319
3616.00,0.3318
3615.00,0.3317
3614.00,0.3317
3613.00,0.3318
3612.00,0.3317
3611.00,0.3317
3610.00,0.3315
3609.00,0.3314
3608.00,0.3313
3607.00,0.3312
3606.00,0.3312
3605.00,0.3311
3604.00,0.3309
