Created as New Dataset,Sample 009 By Dylan Kletzing Monday, March 10, 2025
cm-1,A
4000.00,0.3768
3999.00,0.3766
3998.00,0.3763
3997.00,0.3761
3996.00,0.3757
3995.00,0.3753
3994.00,0.3748
3993.00,0.3743
3992.00,0.3738
3991.00,0.3735
3990.00,0.3732
3989.00,0.3729
3988.00,0.3723
3987.00,0.3716
3986.00,0.3710
3985.00,0.3705
3984.00,0.3703
3983.00,0.3702
3982.00,0.3699
3981.00,0.3693
3980.00,0.3684
3979.00,0.3677
3978.00,0.3672
3977.00,0.3670
3976.00,0.3669
3975.00,0.3668
3974.00,0.3664
3973.00,0.3659
3972.00,0.3653
3971.00,0.3648
3970.00,0.3645
3969.00,0.3644
3968.00,0.3642
3967.00,0.3638
3966.00,0.3632
3965.00,0.3626
3964.00,0.3621
3963.00,0.3616
3962.00,0.3612
3961.00,0.3608
3960.00,0.3604
3959.00,0.3601
3958.00,0.3599
3957.00,0.3596
3956.00,0.3592
3955.00,0.3589
3954.00,0.3587
3953.00,0.3585
3952.00,0.3584
3951.00,0.3582
3950.00,0.3580
3949.00,0.3579
3948.00,0.3580
3947.00,0.3582
3946.00,0.3584
3945.00,0.3584
3944.00,0.3582
3943.00,0.3579
3942.00,0.3575
3941.00,0.3572
3940.00,0.3569
3939.00,0.3566
3938.00,0.3564
3937.00,0.3564
3936.00,0.3565
3935.00,0.3565
3934.00,0.3565
3933.00,0.3564
3932.00,0.3563
3931.00,0.3562
3930.00,0.3560
3929.00,0.3558
3928.00,0.3555
3927.00,0.3552
3926.00,0.3551
3925.00,0.3551
3924.00,0.3553
3923.00,0.3554
3922.00,0.3556
3921.00,0.3557
3920.00,0.3557
3919.00,0.3557
3918.00,0.3557
3917.00,0.3557
3916.00,0.3557
3915.00,0.3556
3914.00,0.3553
3913.00,0.3550
3912.00,0.3546
3911.00,0.3544
3910.00,0.3544
3909.00,0.3544
3908.00,0.3544
3907.00,0.3543
3906.00,0.3543
3905.00,0.3543
3904.00,0.3544
3903.00,0.3544
3902.00,0.3544
3901.00,0.3544
3900.00,0.3542
3899.00,0.3539
3898.00,0.3535
3897.00,0.3532
3896.00,0.3529
3895.00,0.3526
3894.00,0.3524
3893.00,0.3522
3892.00,0.3521
3891.00,0.3518
3890.00,0.3516
3889.00,0.3515
3888.00,0.3515
3887.00,0.3516
3886.00,0.3514
3885.00,0.3511
3884.00,0.3508
3883.00,0.3506
3882.00,0.3506
3881.00,0.3507
3880.00,0.3508
3879.00,0.3511
3878.00,0.3512
3877.00,0.3512
3876.00,0.3509
3875.00,0.3507
3874.00,0.3508
3873.00,0.3510
3872.00,0.3513
3871.00,0.3513
3870.00,0.3510
3869.00,0.3505
3868.00,0.3499
3867.00,0.3496
3866.00,0.3493
3865.00,0.3490
3864.00,0.3487
3863.00,0.3485
3862.00,0.3485
3861.00,0.3485
3860.00,0.3484
3859.00,0.3484
3858.00,0.3485
3857.00,0.3485
3856.00,0.3485
3855.00,0.3484
3854.00,0.3483
3853.00,0.3481
3852.00,0.3477
3851.00,0.3477
3850.00,0.3479
3849.00,0.3480
3848.00,0.3478
3847.00,0.3479
3846.00,0.3481
3845.00,0.3482
3844.00,0.3483
3843.00,0.3483
3842.00,0.3483
3841.00,0.3483
3840.00,0.3481
3839.00,0.3478
3838.00,0.3475
3837.00,0.3474
3836.00,0.3475
3835.00,0.3475
3834.00,0.3474
3833.00,0.3472
3832.00,0.3470
3831.00,0.3469
3830.00,0.3469
3829.00,0.3469
3828.00,0.3468
3827.00,0.3466
3826.00,0.3463
3825.00,0.3461
3824.00,0.3459
3823.00,0.3458
3822.00,0.3456
3821.00,0.3455
3820.00,0.3454
3819.00,0.3454
3818.00,0.3455
3817.00,0.3454
3816.00,0.3450
3815.00,0.3448
3814.00,0.3447
3813.00,0.3447
3812.00,0.3445
3811.00,0.3440
