Created as New Dataset,
cm-1,A
4000.00,1.9701
3999.00,1.9700
3998.00,1.9700
3997.00,1.9697
3996.00,1.9693
3995.00,1.9692
3994.00,1.9694
3993.00,1.9696
3992.00,1.9695
3991.00,1.9692
3990.00,1.9692
3989.00,1.9695
3988.00,1.9694
3987.00,1.9684
3986.00,1.9665
3985.00,1.9646
3984.00,1.9639
3983.00,1.9650
3982.00,1.9674
3981.00,1.9700
3980.00,1.9718
3979.00,1.9721
3978.00,1.9712
3977.00,1.9696
3976.00,1.9673
3975.00,1.9642
3974.00,1.9607
3973.00,1.9578
3972.00,1.9564
3971.00,1.9563
3970.00,1.9570
3969.00,1.9578
3968.00,1.9588
3967.00,1.9599
3966.00,1.9609
3965.00,1.9614
3964.00,1.9608
3963.00,1.9595
3962.00,1.9581
3961.00,1.9575
3960.00,1.9588
3959.00,1.9620
3958.00,1.9655
3957.00,1.9675
3956.00,1.9667
3955.00,1.9641
3954.00,1.9613
3953.00,1.9596
3952.00,1.9590
3951.00,1.9587
3950.00,1.9586
3949.00,1.9588
3948.00,1.9598
3947.00,1.9610
3946.00,1.9621
3945.00,1.9626
3944.00,1.9626
3943.00,1.9623
3942.00,1.9619
3941.00,1.9617
3940.00,1.9613
3939.00,1.9600
3938.00,1.9575
3937.00,1.9543
3936.00,1.9519
3935.00,1.9511
3934.00,1.9518
3933.00,1.9528
3932.00,1.9534
3931.00,1.9540
3930.00,1.9549
3929.00,1.9559
3928.00,1.9571
3927.00,1.9581
3926.00,1.9587
3925.00,1.9587
3924.00,1.9584
3923.00,1.9587
3922.00,1.9592
3921.00,1.9590
3920.00,1.9576
3919.00,1.9559
3918.00,1.9550
3917.00,1.9555
3916.00,1.9566
3915.00,1.9577
3914.00,1.9580
3913.00,1.9576
3912.00,1.9569
3911.00,1.9565
3910.00,1.9564
3909.00,1.9560
3908.00,1.9550
3907.00,1.9539
3906.00,1.9530
3905.00,1.9522
3904.00,1.9513
3903.00,1.9518
3902.00,1.9549
3901.00,1.9595
3900.00,1.9625
3899.00,1.9621
3898.00,1.9595
3897.00,1.9567
3896.00,1.9549
3895.00,1.9543
3894.00,1.9551
3893.00,1.9568
3892.00,1.9573
3891.00,1.9550
3890.00,1.9512
3889.00,1.9487
3888.00,1.9492
3887.00,1.9511
3886.00,1.9523
3885.00,1.9524
3884.00,1.9532
3883.00,1.9549
3882.00,1.9558
3881.00,1.9544
3880.00,1.9511
3879.00,1.9486
3878.00,1.9485
3877.00,1.9507
3876.00,1.9534
3875.00,1.9551
3874.00,1.9553
3873.00,1.9552
3872.00,1.9558
3871.00,1.9559
3870.00,1.9540
3869.00,1.9518
3868.00,1.9523
3867.00,1.9551
3866.00,1.9566
3865.00,1.9541
3864.00,1.9491
3863.00,1.9449
3862.00,1.9432
3861.00,1.9434
3860.00,1.9446
3859.00,1.9459
3858.00,1.9473
3857.00,1.9491
3856.00,1.9516
3855.00,1.9548
3854.00,1.9565
3853.00,1.9561
3852.00,1.9557
3851.00,1.9563
3850.00,1.9569
3849.00,1.9562
3848.00,1.9542
3847.00,1.9518
3846.00,1.9498
3845.00,1.9486
3844.00,1.9475
3843.00,1.9460
3842.00,1.9442
3841.00,1.9429
3840.00,1.9426
3839.00,1.9428
3838.00,1.9431
3837.00,1.9436
3836.00,1.9441
3835.00,1.9442
3834.00,1.9440
3833.00,1.9437
3832.00,1.9441
3831.00,1.9457
3830.00,1.9481
3829.00,1.9504
3828.00,1.9513
3827.00,1.9495
3826.00,1.9452
3825.00,1.9408
3824.00,1.9390
3823.00,1.9409
3822.00,1.9441
3821.00,1.9447
3820.00,1.9421
3819.00,1.9391
3818.00,1.9384
3817.00,1.9398
3816.00,1.9414
3815.00,1.9424
3814.00,1.9434
3813.00,1.9441
3812.00,1.9434
3811.00,1.9415
3810.00,1.9398
3809.00,1.9397
3808.00,1.9404
3807.00,1.9396
3806.00,1.9375
3805.00,1.9366
3804.00,1.9388
3803.00,1.9424
3802.00,1.9439
3801.00,1.9419
3800.00,1.9395
3799.00,1.9391
3798.00,1.9400
3797.00,1.9398
3796.00,1.9382
3795.00,1.9369
3794.00,1.9374
3793.00,1.9384
3792.00,1.9380
3791.00,1.9356
3790.00,1.9326
3789.00,1.9309
3788.00,1.9310
3787.00,1.9323
3786.00,1.9334
3785.00,1.9337
3784.00,1.9340
3783.00,1.9351
3782.00,1.9370
3781.00,1.9382
3780.00,1.9376
3779.00,1.9357
3778.00,1.9339
3777.00,1.9331
3776.00,1.9330
3775.00,1.9326
3774.00,1.9320
3773.00,1.9321
3772.00,1.9331
3771.00,1.9338
3770.00,1.9329
3769.00,1.9308
3768.00,1.9292
3767.00,1.9287
3766.00,1.9289
3765.00,1.9294
3764.00,1.9311
3763.00,1.9345
3762.00,1.9380
3761.00,1.9391
3760.00,1.9371
3759.00,1.9339
3758.00,1.9316
3757.00,1.9305
3756.00,1.9302
3755.00,1.9300
3754.00,1.9299
3753.00,1.9299
3752.00,1.9306
3751.00,1.9324
3750.00,1.9347
3749.00,1.9360
3748.00,1.9365
3747.00,1.9374
3746.00,1.9393
3745.00,1.9404
3744.00,1.9395
3743.00,1.9387
3742.00,1.9392
3741.00,1.9395
3740.00,1.9387
3739.00,1.9377
3738.00,1.9378
3737.00,1.9389
3736.00,1.9400
3735.00,1.9408
3734.00,1.9416
3733.00,1.9418
3732.00,1.9408
3731.00,1.9391
3730.00,1.9377
3729.00,1.9371
3728.00,1.9362
3727.00,1.9346
3726.00,1.9329
3725.00,1.9324
3724.00,1.9329
3723.00,1.9331
3722.00,1.9321
3721.00,1.9303
3720.00,1.9288
3719.00,1.9281
3718.00,1.9281
3717.00,1.9286
3716.00,1.9295
3715.00,1.9310
3714.00,1.9326
3713.00,1.9337
3712.00,1.9338
3711.00,1.9329
3710.00,1.9320
3709.00,1.9326
3708.00,1.9349
3707.00,1.9381
3706.00,1.9403
