Created as New Dataset,Sample 001 By Dylan Kletzing Tuesday, March 11, 2025
cm-1,A
4000.00,0.3254
3999.00,0.3253
3998.00,0.3248
3997.00,0.3242
3996.00,0.3236
3995.00,0.3230
3994.00,0.3224
3993.00,0.3220
3992.00,0.3215
3991.00,0.3210
3990.00,0.3206
3989.00,0.3200
3988.00,0.3193
3987.00,0.3185
3986.00,0.3178
3985.00,0.3172
3984.00,0.3166
3983.00,0.3160
3982.00,0.3154
3981.00,0.3148
3980.00,0.3142
3979.00,0.3137
3978.00,0.3132
3977.00,0.3127
3976.00,0.3122
3975.00,0.3116
3974.00,0.3111
3973.00,0.3107
3972.00,0.3105
3971.00,0.3102
3970.00,0.3101
3969.00,0.3100
3968.00,0.3099
3967.00,0.3097
3966.00,0.3095
3965.00,0.3093
3964.00,0.3089
3963.00,0.3086
3962.00,0.3084
3961.00,0.3084
3960.00,0.3084
3959.00,0.3083
3958.00,0.3081
3957.00,0.3077
3956.00,0.3074
3955.00,0.3073
3954.00,0.3073
3953.00,0.3073
3952.00,0.3074
3951.00,0.3074
3950.00,0.3073
3949.00,0.3072
3948.00,0.3071
3947.00,0.3069
3946.00,0.3068
3945.00,0.3068
3944.00,0.3068
3943.00,0.3068
3942.00,0.3067
3941.00,0.3066
3940.00,0.3065
3939.00,0.3065
3938.00,0.3065
3937.00,0.3066
3936.00,0.3066
3935.00,0.3067
3934.00,0.3067
3933.00,0.3068
3932.00,0.3069
3931.00,0.3070
3930.00,0.3071
3929.00,0.3070
3928.00,0.3068
3927.00,0.3066
3926.00,0.3065
3925.00,0.3064
3924.00,0.3063
3923.00,0.3062
3922.00,0.3060
3921.00,0.3058
3920.00,0.3057
3919.00,0.3058
3918.00,0.3058
3917.00,0.3058
3916.00,0.3058
3915.00,0.3058
3914.00,0.3058
3913.00,0.3056
3912.00,0.3053
3911.00,0.3050
3910.00,0.3049
3909.00,0.3050
3908.00,0.3052
3907.00,0.3054
3906.00,0.3054
3905.00,0.3053
3904.00,0.3052
3903.00,0.3051
3902.00,0.3052
3901.00,0.3052
3900.00,0.3052
3899.00,0.3052
3898.00,0.3052
3897.00,0.3052
3896.00,0.3051
3895.00,0.3049
3894.00,0.3047
3893.00,0.3047
3892.00,0.3047
3891.00,0.3047
3890.00,0.3047
3889.00,0.3047
3888.00,0.3045
3887.00,0.3041
3886.00,0.3037
3885.00,0.3035
3884.00,0.3036
3883.00,0.3037
3882.00,0.3037
3881.00,0.3034
3880.00,0.3031
3879.00,0.3031
3878.00,0.3032
3877.00,0.3031
3876.00,0.3027
3875.00,0.3021
3874.00,0.3018
3873.00,0.3018
3872.00,0.3021
3871.00,0.3024
3870.00,0.3023
3869.00,0.3021
3868.00,0.3020
3867.00,0.3019
3866.00,0.3016
3865.00,0.3015
3864.00,0.3016
3863.00,0.3019
3862.00,0.3022
3861.00,0.3020
3860.00,0.3017
3859.00,0.3013
3858.00,0.3011
3857.00,0.3009
3856.00,0.3009
3855.00,0.3010
3854.00,0.3011
3853.00,0.3013
3852.00,0.3015
3851.00,0.3018
3850.00,0.3017
3849.00,0.3014
3848.00,0.3009
3847.00,0.3006
3846.00,0.3002
3845.00,0.2999
3844.00,0.2995
3843.00,0.2992
3842.00,0.2991
3841.00,0.2992
3840.00,0.2994
3839.00,0.2996
3838.00,0.2998
3837.00,0.2999
3836.00,0.2998
3835.00,0.2997
3834.00,0.2995
3833.00,0.2995
3832.00,0.2996
3831.00,0.2997
3830.00,0.2998
3829.00,0.2998
3828.00,0.2996
3827.00,0.2993
3826.00,0.2990
3825.00,0.2989
3824.00,0.2989
3823.00,0.2988
3822.00,0.2986
3821.00,0.2985
3820.00,0.2986
3819.00,0.2990
3818.00,0.2993
3817.00,0.2990
3816.00,0.2983
3815.00,0.2977
3814.00,0.2974
3813.00,0.2972
3812.00,0.2968
3811.00,0.2963
3810.00,0.2960
3809.00,0.2959
3808.00,0.2958
3807.00,0.2955
3806.00,0.2952
3805.00,0.2953
3804.00,0.2954
3803.00,0.2954
3802.00,0.2951
3801.00,0.2948
3800.00,0.2949
3799.00,0.2951
3798.00,0.2951
3797.00,0.2948
3796.00,0.2944
3795.00,0.2942
3794.00,0.2942
3793.00,0.2941
3792.00,0.2938
3791.00,0.2935
3790.00,0.2933
3789.00,0.2932
3788.00,0.2933
3787.00,0.2933
3786.00,0.2932
3785.00,0.2930
3784.00,0.2928
3783.00,0.2926
3782.00,0.2925
3781.00,0.2924
3780.00,0.2921
3779.00,0.2917
3778.00,0.2914
3777.00,0.2911
3776.00,0.2908
3775.00,0.2905
3774.00,0.2903
3773.00,0.2901
3772.00,0.2901
3771.00,0.2899
3770.00,0.2896
3769.00,0.2895
3768.00,0.2896
3767.00,0.2898
3766.00,0.2899
3765.00,0.2898
3764.00,0.2896
3763.00,0.2893
3762.00,0.2891
3761.00,0.2888
3760.00,0.2886
3759.00,0.2887
3758.00,0.2888
3757.00,0.2888
3756.00,0.2886
3755.00,0.2884
3754.00,0.2883
3753.00,0.2884
3752.00,0.2886
3751.00,0.2887
3750.00,0.2886
3749.00,0.2884
3748.00,0.2883
3747.00,0.2885
3746.00,0.2887
3745.00,0.2885
3744.00,0.2880
3743.00,0.2878
3742.00,0.2878
3741.00,0.2877
3740.00,0.2874
3739.00,0.2870
3738.00,0.2869
3737.00,0.2867
3736.00,0.2866
3735.00,0.2864
3734.00,0.2863
3733.00,0.2862
3732.00,0.2861
3731.00,0.2861
3730.00,0.2862
3729.00,0.2865
3728.00,0.2865
3727.00,0.2863
3726.00,0.2861
3725.00,0.2860
3724.00,0.2859
3723.00,0.2857
3722.00,0.2855
3721.00,0.2853
3720.00,0.2852
3719.00,0.2852
3718.00,0.2851
3717.00,0.2849
3716.00,0.2848
3715.00,0.2848
3714.00,0.2847
3713.00,0.2846
3712.00,0.2846
3711.00,0.2846
3710.00,0.2847
3709.00,0.2848
3708.00,0.2847
3707.00,0.2846
3706.00,0.2843
3705.00,0.2839
3704.00,0.2837
3703.00,0.2835
3702.00,0.2834
3701.00,0.2833
3700.00,0.2833
3699.00,0.2834
3698.00,0.2836
3697.00,0.2837
3696.00,0.2838
3695.00,0.2838
3694.00,0.2838
3693.00,0.2838
3692.00,0.2838
3691.00,0.2839
3690.00,0.2841
3689.00,0.2843
3688.00,0.2844
3687.00,0.2844
3686.00,0.2845
3685.00,0.2845
3684.00,0.2845
3683.00,0.2845
3682.00,0.2845
3681.00,0.2844
3680.00,0.2843
3679.00,0.2842
3678.00,0.2843
3677.00,0.2844
3676.00,0.2844
