Created as New Dataset,
cm-1,A
4000.00,0.4489
3999.00,0.4486
3998.00,0.4482
3997.00,0.4478
3996.00,0.4473
3995.00,0.4468
3994.00,0.4462
3993.00,0.4456
3992.00,0.4450
3991.00,0.4444
3990.00,0.4438
3989.00,0.4433
3988.00,0.4427
3987.00,0.4421
3986.00,0.4415
3985.00,0.4408
3984.00,0.4402
3983.00,0.4395
3982.00,0.4389
3981.00,0.4383
3980.00,0.4377
3979.00,0.4370
3978.00,0.4364
3977.00,0.4358
3976.00,0.4353
3975.00,0.4349
3974.00,0.4344
3973.00,0.4340
3972.00,0.4336
3971.00,0.4332
3970.00,0.4329
3969.00,0.4325
3968.00,0.4321
3967.00,0.4317
3966.00,0.4313
3965.00,0.4309
3964.00,0.4306
3963.00,0.4303
3962.00,0.4300
3961.00,0.4297
3960.00,0.4293
3959.00,0.4290
3958.00,0.4288
3957.00,0.4286
3956.00,0.4285
3955.00,0.4284
3954.00,0.4283
3953.00,0.4281
3952.00,0.4280
3951.00,0.4277
3950.00,0.4275
3949.00,0.4272
3948.00,0.4270
3947.00,0.4269
3946.00,0.4268
3945.00,0.4266
3944.00,0.4265
3943.00,0.4265
3942.00,0.4264
3941.00,0.4264
3940.00,0.4263
3939.00,0.4262
3938.00,0.4261
3937.00,0.4261
3936.00,0.4260
3935.00,0.4259
3934.00,0.4257
3933.00,0.4256
3932.00,0.4255
3931.00,0.4254
3930.00,0.4252
3929.00,0.4250
3928.00,0.4248
3927.00,0.4247
3926.00,0.4246
3925.00,0.4246
3924.00,0.4246
3923.00,0.4244
3922.00,0.4242
3921.00,0.4241
3920.00,0.4239
3919.00,0.4238
3918.00,0.4236
3917.00,0.4234
3916.00,0.4233
3915.00,0.4231
3914.00,0.4230
3913.00,0.4229
3912.00,0.4227
3911.00,0.4225
3910.00,0.4224
3909.00,0.4223
3908.00,0.4221
3907.00,0.4219
3906.00,0.4217
3905.00,0.4216
3904.00,0.4217
3903.00,0.4217
3902.00,0.4216
3901.00,0.4214
3900.00,0.4211
3899.00,0.4209
3898.00,0.4208
3897.00,0.4207
3896.00,0.4206
3895.00,0.4206
3894.00,0.4204
3893.00,0.4201
3892.00,0.4198
3891.00,0.4198
3890.00,0.4197
3889.00,0.4194
3888.00,0.4189
3887.00,0.4186
3886.00,0.4186
3885.00,0.4189
3884.00,0.4189
3883.00,0.4187
3882.00,0.4183
3881.00,0.4181
3880.00,0.4181
3879.00,0.4181
3878.00,0.4179
3877.00,0.4174
3876.00,0.4170
3875.00,0.4170
3874.00,0.4173
3873.00,0.4172
3872.00,0.4168
3871.00,0.4164
3870.00,0.4163
3869.00,0.4163
3868.00,0.4162
3867.00,0.4159
3866.00,0.4157
3865.00,0.4156
3864.00,0.4156
3863.00,0.4153
3862.00,0.4149
3861.00,0.4144
3860.00,0.4140
3859.00,0.4139
3858.00,0.4139
3857.00,0.4139
3856.00,0.4135
3855.00,0.4132
3854.00,0.4133
3853.00,0.4135
3852.00,0.4134
3851.00,0.4131
3850.00,0.4129
3849.00,0.4128
3848.00,0.4128
3847.00,0.4128
3846.00,0.4126
3845.00,0.4124
3844.00,0.4123
3843.00,0.4122
3842.00,0.4122
3841.00,0.4121
3840.00,0.4119
3839.00,0.4117
3838.00,0.4116
3837.00,0.4115
3836.00,0.4114
3835.00,0.4113
3834.00,0.4111
3833.00,0.4109
3832.00,0.4108
3831.00,0.4108
3830.00,0.4107
3829.00,0.4104
3828.00,0.4101
3827.00,0.4099
3826.00,0.4099
3825.00,0.4099
3824.00,0.4097
3823.00,0.4093
3822.00,0.4092
3821.00,0.4094
3820.00,0.4095
3819.00,0.4092
3818.00,0.4085
3817.00,0.4081
3816.00,0.4080
3815.00,0.4079
3814.00,0.4075
3813.00,0.4070
3812.00,0.4066
3811.00,0.4065
3810.00,0.4062
3809.00,0.4057
3808.00,0.4052
3807.00,0.4050
3806.00,0.4050
3805.00,0.4048
3804.00,0.4044
3803.00,0.4039
3802.00,0.4038
3801.00,0.4039
3800.00,0.4038
3799.00,0.4034
3798.00,0.4030
3797.00,0.4027
3796.00,0.4026
3795.00,0.4023
3794.00,0.4020
3793.00,0.4016
3792.00,0.4013
3791.00,0.4011
3790.00,0.4010
3789.00,0.4008
3788.00,0.4006
3787.00,0.4003
3786.00,0.3999
3785.00,0.3996
3784.00,0.3994
3783.00,0.3992
3782.00,0.3989
3781.00,0.3986
3780.00,0.3983
3779.00,0.3980
3778.00,0.3977
3777.00,0.3972
3776.00,0.3968
3775.00,0.3966
3774.00,0.3965
3773.00,0.3962
3772.00,0.3958
3771.00,0.3955
3770.00,0.3953
3769.00,0.3952
3768.00,0.3950
