Created as New Dataset,
cm-1,A
4000.00,0.4930
3999.00,0.4928
3998.00,0.4926
3997.00,0.4925
3996.00,0.4924
3995.00,0.4924
3994.00,0.4923
3993.00,0.4922
3992.00,0.4919
3991.00,0.4916
3990.00,0.4913
3989.00,0.4910
3988.00,0.4907
3987.00,0.4903
3986.00,0.4900
3985.00,0.4896
3984.00,0.4892
3983.00,0.4887
3982.00,0.4883
3981.00,0.4880
3980.00,0.4877
3979.00,0.4874
3978.00,0.4870
3977.00,0.4865
3976.00,0.4860
3975.00,0.4855
3974.00,0.4852
3973.00,0.4849
3972.00,0.4846
3971.00,0.4843
3970.00,0.4840
3969.00,0.4838
3968.00,0.4836
3967.00,0.4834
3966.00,0.4832
3965.00,0.4829
3964.00,0.4826
3963.00,0.4824
3962.00,0.4823
3961.00,0.4822
3960.00,0.4821
3959.00,0.4821
3958.00,0.4820
3957.00,0.4821
3956.00,0.4822
3955.00,0.4823
3954.00,0.4824
3953.00,0.4824
3952.00,0.4824
3951.00,0.4822
3950.00,0.4820
3949.00,0.4818
3948.00,0.4817
3947.00,0.4816
3946.00,0.4815
3945.00,0.4813
3944.00,0.4812
3943.00,0.4813
3942.00,0.4814
3941.00,0.4814
3940.00,0.4813
3939.00,0.4811
3938.00,0.4811
3937.00,0.4812
3936.00,0.4811
3935.00,0.4808
3934.00,0.4805
3933.00,0.4802
3932.00,0.4799
3931.00,0.4796
3930.00,0.4792
3929.00,0.4787
3928.00,0.4781
3927.00,0.4774
3926.00,0.4768
3925.00,0.4762
3924.00,0.4757
3923.00,0.4750
3922.00,0.4744
3921.00,0.4738
3920.00,0.4733
3919.00,0.4728
3918.00,0.4724
3917.00,0.4721
3916.00,0.4720
3915.00,0.4719
3914.00,0.4718
3913.00,0.4717
3912.00,0.4716
3911.00,0.4716
3910.00,0.4715
3909.00,0.4715
3908.00,0.4713
3907.00,0.4709
3906.00,0.4705
3905.00,0.4703
3904.00,0.4703
3903.00,0.4702
3902.00,0.4699
3901.00,0.4696
3900.00,0.4694
3899.00,0.4694
3898.00,0.4695
3897.00,0.4695
3896.00,0.4696
3895.00,0.4696
3894.00,0.4693
3893.00,0.4690
3892.00,0.4689
3891.00,0.4691
3890.00,0.4693
3889.00,0.4691
3888.00,0.4685
3887.00,0.4682
3886.00,0.4685
3885.00,0.4691
3884.00,0.4693
3883.00,0.4688
3882.00,0.4682
3881.00,0.4681
3880.00,0.4684
3879.00,0.4687
3878.00,0.4685
3877.00,0.4678
3876.00,0.4673
3875.00,0.4673
3874.00,0.4676
3873.00,0.4674
3872.00,0.4665
3871.00,0.4657
3870.00,0.4657
3869.00,0.4658
3868.00,0.4655
3867.00,0.4647
3866.00,0.4641
3865.00,0.4638
3864.00,0.4635
3863.00,0.4628
3862.00,0.4619
3861.00,0.4608
3860.00,0.4599
3859.00,0.4593
3858.00,0.4590
3857.00,0.4584
3856.00,0.4573
3855.00,0.4564
3854.00,0.4559
3853.00,0.4556
3852.00,0.4549
3851.00,0.4542
3850.00,0.4538
3849.00,0.4537
3848.00,0.4538
3847.00,0.4537
3846.00,0.4534
3845.00,0.4528
3844.00,0.4523
3843.00,0.4519
3842.00,0.4514
3841.00,0.4507
3840.00,0.4500
3839.00,0.4494
3838.00,0.4491
3837.00,0.4489
3836.00,0.4487
3835.00,0.4484
3834.00,0.4481
3833.00,0.4479
3832.00,0.4479
3831.00,0.4480
3830.00,0.4478
3829.00,0.4471
3828.00,0.4464
3827.00,0.4460
3826.00,0.4460
3825.00,0.4458
3824.00,0.4450
3823.00,0.4439
3822.00,0.4436
3821.00,0.4439
3820.00,0.4443
3819.00,0.4438
3818.00,0.4429
3817.00,0.4424
3816.00,0.4426
3815.00,0.4427
3814.00,0.4422
3813.00,0.4415
3812.00,0.4410
3811.00,0.4409
3810.00,0.4405
3809.00,0.4397
3808.00,0.4390
3807.00,0.4389
3806.00,0.4389
3805.00,0.4386
3804.00,0.4375
3803.00,0.4365
3802.00,0.4364
3801.00,0.4367
3800.00,0.4365
3799.00,0.4359
3798.00,0.4352
3797.00,0.4351
3796.00,0.4353
3795.00,0.4354
3794.00,0.4352
3793.00,0.4348
3792.00,0.4345
3791.00,0.4343
3790.00,0.4341
3789.00,0.4338
3788.00,0.4335
3787.00,0.4330
3786.00,0.4326
3785.00,0.4323
3784.00,0.4320
3783.00,0.4318
3782.00,0.4313
3781.00,0.4309
3780.00,0.4307
3779.00,0.4306
3778.00,0.4303
3777.00,0.4298
3776.00,0.4292
3775.00,0.4289
3774.00,0.4287
3773.00,0.4284
3772.00,0.4278
3771.00,0.4274
3770.00,0.4273
3769.00,0.4270
3768.00,0.4265
3767.00,0.4258
3766.00,0.4254
3765.00,0.4253
3764.00,0.4252
3763.00,0.4249
3762.00,0.4244
3761.00,0.4240
3760.00,0.4237
3759.00,0.4232
3758.00,0.4226
3757.00,0.4221
3756.00,0.4216
3755.00,0.4211
3754.00,0.4207
3753.00,0.4203
3752.00,0.4198
3751.00,0.4193
3750.00,0.4190
3749.00,0.4193
3748.00,0.4196
3747.00,0.4192
3746.00,0.4190
3745.00,0.4198
3744.00,0.4209
3743.00,0.4215
3742.00,0.4216
3741.00,0.4218
3740.00,0.4224
3739.00,0.4229
3738.00,0.4233
3737.00,0.4237
3736.00,0.4243
3735.00,0.4247
3734.00,0.4248
3733.00,0.4249
3732.00,0.4255
3731.00,0.4262
3730.00,0.4268
3729.00,0.4270
3728.00,0.4272
3727.00,0.4276
3726.00,0.4278
3725.00,0.4278
3724.00,0.4276
3723.00,0.4275
3722.00,0.4276
3721.00,0.4276
3720.00,0.4274
3719.00,0.4271
3718.00,0.4269
3717.00,0.4268
3716.00,0.4267
3715.00,0.4264
3714.00,0.4261
3713.00,0.4260
3712.00,0.4260
3711.00,0.4260
3710.00,0.4258
3709.00,0.4256
3708.00,0.4255
3707.00,0.4257
3706.00,0.4261
3705.00,0.4264
3704.00,0.4268
3703.00,0.4272
3702.00,0.4278
3701.00,0.4284
3700.00,0.4289
3699.00,0.4292
3698.00,0.4296
3697.00,0.4301
3696.00,0.4309
3695.00,0.4316
3694.00,0.4324
3693.00,0.4333
3692.00,0.4344
3691.00,0.4355
3690.00,0.4369
3689.00,0.4387
3688.00,0.4406
3687.00,0.4424
3686.00,0.4440
3685.00,0.4456
3684.00,0.4474
3683.00,0.4493
3682.00,0.4511
3681.00,0.4531
3680.00,0.4554
3679.00,0.4576
3678.00,0.4593
3677.00,0.4616
3676.00,0.4652
3675.00,0.4697
3674.00,0.4736
3673.00,0.4768
3672.00,0.4805
3671.00,0.4860
3670.00,0.4932
3669.00,0.5011
3668.00,0.5088
3667.00,0.5167
3666.00,0.5253
3665.00,0.5345
3664.00,0.5443
3663.00,0.5547
3662.00,0.5660
3661.00,0.5785
3660.00,0.5926
3659.00,0.6092
3658.00,0.6306
3657.00,0.6593
3656.00,0.6951
3655.00,0.7355
3654.00,0.7793
3653.00,0.8299
