Created as New Dataset,
cm-1,A
4000.00,0.0853
3999.00,0.0846
3998.00,0.0840
3997.00,0.0833
3996.00,0.0827
3995.00,0.0821
3994.00,0.0817
3993.00,0.0816
3992.00,0.0814
3991.00,0.0811
3990.00,0.0804
3989.00,0.0797
3988.00,0.0790
3987.00,0.0785
3986.00,0.0780
3985.00,0.0775
3984.00,0.0771
3983.00,0.0766
3982.00,0.0760
3981.00,0.0753
3980.00,0.0747
3979.00,0.0743
3978.00,0.0740
3977.00,0.0739
3976.00,0.0735
3975.00,0.0729
3974.00,0.0723
3973.00,0.0720
3972.00,0.0718
3971.00,0.0716
3970.00,0.0712
3969.00,0.0707
3968.00,0.0703
3967.00,0.0702
3966.00,0.0703
3965.00,0.0703
3964.00,0.0701
3963.00,0.0697
3962.00,0.0694
3961.00,0.0693
3960.00,0.0692
3959.00,0.0692
3958.00,0.0691
3957.00,0.0690
3956.00,0.0688
3955.00,0.0686
3954.00,0.0685
3953.00,0.0684
3952.00,0.0682
3951.00,0.0680
3950.00,0.0678
3949.00,0.0676
3948.00,0.0675
3947.00,0.0675
3946.00,0.0676
3945.00,0.0675
3944.00,0.0673
3943.00,0.0671
3942.00,0.0671
3941.00,0.0671
3940.00,0.0670
3939.00,0.0668
3938.00,0.0667
3937.00,0.0668
3936.00,0.0670
3935.00,0.0671
3934.00,0.0670
3933.00,0.0669
3932.00,0.0669
3931.00,0.0671
3930.00,0.0672
3929.00,0.0673
3928.00,0.0671
3927.00,0.0669
3926.00,0.0667
3925.00,0.0667
3924.00,0.0668
3923.00,0.0669
3922.00,0.0669
3921.00,0.0668
3920.00,0.0665
3919.00,0.0663
3918.00,0.0661
3917.00,0.0661
3916.00,0.0662
3915.00,0.0662
3914.00,0.0663
3913.00,0.0663
3912.00,0.0662
3911.00,0.0662
3910.00,0.0662
3909.00,0.0662
3908.00,0.0660
3907.00,0.0658
3906.00,0.0655
3905.00,0.0653
3904.00,0.0653
3903.00,0.0654
3902.00,0.0655
3901.00,0.0656
3900.00,0.0657
3899.00,0.0658
3898.00,0.0659
3897.00,0.0657
3896.00,0.0652
3895.00,0.0647
3894.00,0.0643
3893.00,0.0642
3892.00,0.0645
3891.00,0.0649
3890.00,0.0650
3889.00,0.0648
3888.00,0.0643
3887.00,0.0638
3886.00,0.0636
3885.00,0.0639
3884.00,0.0643
3883.00,0.0645
3882.00,0.0643
3881.00,0.0641
3880.00,0.0641
3879.00,0.0642
3878.00,0.0641
3877.00,0.0638
3876.00,0.0633
3875.00,0.0630
3874.00,0.0630
3873.00,0.0631
3872.00,0.0630
3871.00,0.0626
3870.00,0.0622
3869.00,0.0623
3868.00,0.0627
3867.00,0.0630
3866.00,0.0630
3865.00,0.0628
3864.00,0.0625
3863.00,0.0624
3862.00,0.0623
3861.00,0.0621
3860.00,0.0620
3859.00,0.0620
3858.00,0.0620
3857.00,0.0620
3856.00,0.0619
3855.00,0.0615
3854.00,0.0610
3853.00,0.0610
3852.00,0.0613
3851.00,0.0615
3850.00,0.0616
3849.00,0.0615
3848.00,0.0615
3847.00,0.0616
3846.00,0.0616
3845.00,0.0615
3844.00,0.0613
3843.00,0.0610
3842.00,0.0606
3841.00,0.0603
3840.00,0.0602
3839.00,0.0603
3838.00,0.0607
3837.00,0.0611
3836.00,0.0611
3835.00,0.0608
3834.00,0.0605
3833.00,0.0603
