Created as New Dataset,
cm-1,A
4000.00,0.4041
3999.00,0.4034
3998.00,0.4027
3997.00,0.4021
3996.00,0.4014
3995.00,0.4007
3994.00,0.4001
3993.00,0.3995
3992.00,0.3990
3991.00,0.3985
3990.00,0.3981
3989.00,0.3976
3988.00,0.3970
3987.00,0.3965
3986.00,0.3960
3985.00,0.3955
3984.00,0.3950
3983.00,0.3946
3982.00,0.3942
3981.00,0.3938
3980.00,0.3935
3979.00,0.3932
3978.00,0.3929
3977.00,0.3926
3976.00,0.3923
3975.00,0.3921
3974.00,0.3919
3973.00,0.3917
3972.00,0.3915
3971.00,0.3913
3970.00,0.3912
3969.00,0.3912
3968.00,0.3911
3967.00,0.3911
3966.00,0.3910
3965.00,0.3909
3964.00,0.3908
3963.00,0.3908
3962.00,0.3907
3961.00,0.3908
3960.00,0.3908
3959.00,0.3908
3958.00,0.3909
3957.00,0.3908
3956.00,0.3908
3955.00,0.3907
3954.00,0.3906
3953.00,0.3905
3952.00,0.3905
3951.00,0.3905
3950.00,0.3904
3949.00,0.3903
3948.00,0.3902
3947.00,0.3900
3946.00,0.3898
3945.00,0.3896
3944.00,0.3894
3943.00,0.3892
3942.00,0.3890
3941.00,0.3887
3940.00,0.3885
3939.00,0.3882
3938.00,0.3879
3937.00,0.3876
3936.00,0.3873
3935.00,0.3869
3934.00,0.3866
3933.00,0.3863
3932.00,0.3860
3931.00,0.3857
3930.00,0.3854
3929.00,0.3851
3928.00,0.3849
3927.00,0.3847
3926.00,0.3845
3925.00,0.3842
3924.00,0.3839
3923.00,0.3837
3922.00,0.3835
3921.00,0.3834
3920.00,0.3832
3919.00,0.3830
3918.00,0.3829
3917.00,0.3827
3916.00,0.3824
3915.00,0.3822
3914.00,0.3819
3913.00,0.3816
3912.00,0.3813
3911.00,0.3810
3910.00,0.3807
3909.00,0.3803
3908.00,0.3800
3907.00,0.3797
3906.00,0.3795
3905.00,0.3793
3904.00,0.3791
3903.00,0.3789
3902.00,0.3788
3901.00,0.3787
3900.00,0.3785
3899.00,0.3783
3898.00,0.3780
3897.00,0.3776
3896.00,0.3773
3895.00,0.3769
3894.00,0.3766
3893.00,0.3764
3892.00,0.3763
3891.00,0.3761
3890.00,0.3758
3889.00,0.3757
3888.00,0.3756
3887.00,0.3755
3886.00,0.3753
3885.00,0.3751
3884.00,0.3749
3883.00,0.3749
3882.00,0.3748
3881.00,0.3746
3880.00,0.3745
3879.00,0.3743
3878.00,0.3741
3877.00,0.3740
3876.00,0.3739
3875.00,0.3737
3874.00,0.3735
3873.00,0.3733
3872.00,0.3732
3871.00,0.3731
3870.00,0.3730
3869.00,0.3729
3868.00,0.3730
3867.00,0.3730
3866.00,0.3731
3865.00,0.3730
3864.00,0.3729
3863.00,0.3729
3862.00,0.3728
3861.00,0.3726
3860.00,0.3725
3859.00,0.3724
3858.00,0.3723
3857.00,0.3723
3856.00,0.3722
3855.00,0.3722
3854.00,0.3722
3853.00,0.3722
3852.00,0.3725
3851.00,0.3727
3850.00,0.3727
3849.00,0.3725
3848.00,0.3722
3847.00,0.3719
3846.00,0.3716
3845.00,0.3712
3844.00,0.3708
3843.00,0.3705
3842.00,0.3703
3841.00,0.3702
3840.00,0.3702
3839.00,0.3702
3838.00,0.3701
3837.00,0.3700
3836.00,0.3700
3835.00,0.3699
3834.00,0.3697
3833.00,0.3695
3832.00,0.3692
3831.00,0.3689
3830.00,0.3687
3829.00,0.3685
3828.00,0.3684
3827.00,0.3683
3826.00,0.3680
3825.00,0.3679
3824.00,0.3678
3823.00,0.3677
3822.00,0.3677
3821.00,0.3676
3820.00,0.3675
3819.00,0.3675
3818.00,0.3676
3817.00,0.3677
3816.00,0.3676
3815.00,0.3675
3814.00,0.3674
3813.00,0.3672
3812.00,0.3670
3811.00,0.3667
3810.00,0.3666
3809.00,0.3664
3808.00,0.3662
3807.00,0.3659
3806.00,0.3657
3805.00,0.3656
3804.00,0.3656
3803.00,0.3656
3802.00,0.3655
3801.00,0.3653
3800.00,0.3652
3799.00,0.3651
3798.00,0.3649
3797.00,0.3648
3796.00,0.3645
3795.00,0.3643
3794.00,0.3640
3793.00,0.3638
3792.00,0.3635
3791.00,0.3632
3790.00,0.3630
3789.00,0.3627
3788.00,0.3625
3787.00,0.3624
3786.00,0.3623
3785.00,0.3622
3784.00,0.3622
3783.00,0.3621
3782.00,0.3621
3781.00,0.3621
3780.00,0.3621
3779.00,0.3620
3778.00,0.3619
3777.00,0.3618
3776.00,0.3617
3775.00,0.3615
3774.00,0.3614
3773.00,0.3614
3772.00,0.3613
3771.00,0.3613
3770.00,0.3612
3769.00,0.3611
3768.00,0.3611
3767.00,0.3611
3766.00,0.3610
3765.00,0.3609
3764.00,0.3608
3763.00,0.3607
3762.00,0.3606
3761.00,0.3605
3760.00,0.3604
3759.00,0.3602
3758.00,0.3601
3757.00,0.3599
3756.00,0.3597
3755.00,0.3596
3754.00,0.3596
3753.00,0.3596
3752.00,0.3595
3751.00,0.3595
3750.00,0.3596
3749.00,0.3596
3748.00,0.3597
3747.00,0.3598
3746.00,0.3599
3745.00,0.3600
3744.00,0.3598
3743.00,0.3597
3742.00,0.3597
3741.00,0.3595
3740.00,0.3593
3739.00,0.3592
3738.00,0.3591
3737.00,0.3591
3736.00,0.3590
3735.00,0.3590
3734.00,0.3591
3733.00,0.3592
3732.00,0.3592
3731.00,0.3591
3730.00,0.3590
3729.00,0.3589
3728.00,0.3587
3727.00,0.3585
3726.00,0.3584
3725.00,0.3585
3724.00,0.3587
3723.00,0.3590
3722.00,0.3594
3721.00,0.3600
3720.00,0.3606
3719.00,0.3614
3718.00,0.3621
3717.00,0.3628
3716.00,0.3635
3715.00,0.3642
3714.00,0.3650
3713.00,0.3660
3712.00,0.3671
3711.00,0.3684
3710.00,0.3696
3709.00,0.3706
3708.00,0.3714
3707.00,0.3718
3706.00,0.3720
3705.00,0.3722
3704.00,0.3727
3703.00,0.3737
3702.00,0.3754
3701.00,0.3781
3700.00,0.3815
3699.00,0.3859
3698.00,0.3912
3697.00,0.3973
3696.00,0.4039
3695.00,0.4107
3694.00,0.4175
3693.00,0.4241
3692.00,0.4306
3691.00,0.4370
3690.00,0.4433
3689.00,0.4491
3688.00,0.4541
3687.00,0.4579
3686.00,0.4603
3685.00,0.4613
3684.00,0.4608
3683.00,0.4586
3682.00,0.4549
3681.00,0.4497
3680.00,0.4436
3679.00,0.4373
3678.00,0.4308
3677.00,0.4238
3676.00,0.4166
3675.00,0.4102
3674.00,0.4056
3673.00,0.4027
3672.00,0.4009
3671.00,0.3995
3670.00,0.3986
3669.00,0.3981
3668.00,0.3978
3667.00,0.3978
3666.00,0.3979
3665.00,0.3981
3664.00,0.3985
3663.00,0.3990
3662.00,0.3994
3661.00,0.4000
3660.00,0.4006
3659.00,0.4014
3658.00,0.4023
3657.00,0.4032
3656.00,0.4040
3655.00,0.4048
3654.00,0.4055
3653.00,0.4063
3652.00,0.4071
3651.00,0.4082
3650.00,0.4093
3649.00,0.4103
3648.00,0.4114
3647.00,0.4123
3646.00,0.4130
3645.00,0.4135
3644.00,0.4140
3643.00,0.4145
3642.00,0.4149
3641.00,0.4154
3640.00,0.4158
3639.00,0.4163
3638.00,0.4168
3637.00,0.4172
3636.00,0.4177
3635.00,0.4180
3634.00,0.4183
3633.00,0.4185
3632.00,0.4188
3631.00,0.4192
3630.00,0.4195
3629.00,0.4197
3628.00,0.4198
3627.00,0.4197
3626.00,0.4196
3625.00,0.4193
3624.00,0.4190
3623.00,0.4187
3622.00,0.4183
3621.00,0.4178
3620.00,0.4171
3619.00,0.4164
3618.00,0.4158
