Created as New Dataset,Sample 001 By Laboratory Date 16 10 2025
cm-1,A
4000.00,0.1074
3999.00,0.1074
3998.00,0.1075
3997.00,0.1075
3996.00,0.1075
3995.00,0.1075
3994.00,0.1075
3993.00,0.1074
3992.00,0.1074
3991.00,0.1074
3990.00,0.1074
3989.00,0.1075
3988.00,0.1077
3987.00,0.1078
3986.00,0.1078
3985.00,0.1078
3984.00,0.1077
3983.00,0.1076
3982.00,0.1076
3981.00,0.1076
3980.00,0.1075
3979.00,0.1073
3978.00,0.1070
3977.00,0.1066
3976.00,0.1063
3975.00,0.1060
3974.00,0.1057
3973.00,0.1054
3972.00,0.1051
3971.00,0.1047
3970.00,0.1043
3969.00,0.1039
3968.00,0.1034
3967.00,0.1030
3966.00,0.1025
3965.00,0.1019
3964.00,0.1014
3963.00,0.1009
3962.00,0.1004
3961.00,0.0999
3960.00,0.0993
3959.00,0.0988
3958.00,0.0983
3957.00,0.0978
3956.00,0.0973
3955.00,0.0970
3954.00,0.0967
3953.00,0.0964
3952.00,0.0960
3951.00,0.0955
3950.00,0.0950
3949.00,0.0945
3948.00,0.0943
3947.00,0.0941
3946.00,0.0939
3945.00,0.0937
3944.00,0.0933
3943.00,0.0929
3942.00,0.0926
3941.00,0.0926
3940.00,0.0926
3939.00,0.0925
3938.00,0.0923
3937.00,0.0921
3936.00,0.0919
3935.00,0.0918
3934.00,0.0917
3933.00,0.0914
3932.00,0.0912
3931.00,0.0910
3930.00,0.0908
3929.00,0.0907
3928.00,0.0905
3927.00,0.0903
3926.00,0.0902
3925.00,0.0901
3924.00,0.0900
3923.00,0.0898
3922.00,0.0896
3921.00,0.0894
3920.00,0.0891
3919.00,0.0890
3918.00,0.0889
3917.00,0.0890
3916.00,0.0890
3915.00,0.0889
3914.00,0.0888
3913.00,0.0888
3912.00,0.0889
3911.00,0.0889
3910.00,0.0889
3909.00,0.0888
3908.00,0.0887
3907.00,0.0886
3906.00,0.0884
3905.00,0.0884
3904.00,0.0883
3903.00,0.0882
3902.00,0.0883
3901.00,0.0886
3900.00,0.0890
3899.00,0.0893
3898.00,0.0894
3897.00,0.0896
3896.00,0.0900
3895.00,0.0904
3894.00,0.0908
3893.00,0.0912
3892.00,0.0916
3891.00,0.0919
3890.00,0.0919
3889.00,0.0920
3888.00,0.0922
3887.00,0.0926
3886.00,0.0929
3885.00,0.0931
3884.00,0.0932
3883.00,0.0934
3882.00,0.0936
3881.00,0.0934
3880.00,0.0930
3879.00,0.0927
3878.00,0.0926
3877.00,0.0926
3876.00,0.0922
3875.00,0.0915
3874.00,0.0908
3873.00,0.0904
3872.00,0.0901
3871.00,0.0897
3870.00,0.0889
3869.00,0.0877
3868.00,0.0867
3867.00,0.0862
3866.00,0.0859
3865.00,0.0852
3864.00,0.0844
3863.00,0.0840
3862.00,0.0839
3861.00,0.0838
3860.00,0.0834
3859.00,0.0830
3858.00,0.0827
3857.00,0.0827
3856.00,0.0827
3855.00,0.0828
3854.00,0.0827
3853.00,0.0822
3852.00,0.0815
3851.00,0.0815
3850.00,0.0820
3849.00,0.0821
3848.00,0.0816
3847.00,0.0813
3846.00,0.0813
3845.00,0.0813
3844.00,0.0812
3843.00,0.0811
3842.00,0.0810
3841.00,0.0809
3840.00,0.0807
3839.00,0.0804
3838.00,0.0800
3837.00,0.0797
3836.00,0.0795
3835.00,0.0794
3834.00,0.0793
3833.00,0.0791
3832.00,0.0789
3831.00,0.0788
3830.00,0.0788
3829.00,0.0788
3828.00,0.0788
3827.00,0.0786
3826.00,0.0783
3825.00,0.0782
3824.00,0.0782
3823.00,0.0784
3822.00,0.0785
3821.00,0.0783
3820.00,0.0780
3819.00,0.0780
3818.00,0.0784
3817.00,0.0787
3816.00,0.0787
3815.00,0.0785
3814.00,0.0787
3813.00,0.0793
3812.00,0.0797
3811.00,0.0797
3810.00,0.0795
3809.00,0.0798
3808.00,0.0802
3807.00,0.0801
3806.00,0.0797
3805.00,0.0793
3804.00,0.0793
3803.00,0.0793
3802.00,0.0791
3801.00,0.0789
3800.00,0.0787
3799.00,0.0789
3798.00,0.0792
3797.00,0.0789
3796.00,0.0784
3795.00,0.0781
3794.00,0.0781
3793.00,0.0781
3792.00,0.0777
3791.00,0.0772
3790.00,0.0767
3789.00,0.0763
3788.00,0.0759
3787.00,0.0755
3786.00,0.0750
3785.00,0.0745
3784.00,0.0741
3783.00,0.0736
3782.00,0.0731
3781.00,0.0728
3780.00,0.0724
3779.00,0.0721
3778.00,0.0718
3777.00,0.0716
3776.00,0.0715
3775.00,0.0713
3774.00,0.0711
3773.00,0.0709
3772.00,0.0707
3771.00,0.0706
3770.00,0.0704
3769.00,0.0701
3768.00,0.0699
3767.00,0.0699
3766.00,0.0696
3765.00,0.0693
3764.00,0.0690
3763.00,0.0690
3762.00,0.0690
3761.00,0.0687
3760.00,0.0683
3759.00,0.0679
3758.00,0.0677
3757.00,0.0675
3756.00,0.0672
3755.00,0.0668
3754.00,0.0665
3753.00,0.0664
3752.00,0.0662
3751.00,0.0659
3750.00,0.0655
3749.00,0.0650
3748.00,0.0645
3747.00,0.0643
3746.00,0.0642
3745.00,0.0642
3744.00,0.0641
3743.00,0.0638
3742.00,0.0639
3741.00,0.0645
3740.00,0.0645
3739.00,0.0640
3738.00,0.0639
3737.00,0.0641
3736.00,0.0641
3735.00,0.0638
3734.00,0.0636
3733.00,0.0638
3732.00,0.0641
3731.00,0.0642
3730.00,0.0642
3729.00,0.0643
3728.00,0.0644
3727.00,0.0645
3726.00,0.0644
3725.00,0.0645
3724.00,0.0647
3723.00,0.0648
3722.00,0.0648
3721.00,0.0648
3720.00,0.0650
3719.00,0.0652
3718.00,0.0653
3717.00,0.0653
3716.00,0.0652
3715.00,0.0652
3714.00,0.0653
3713.00,0.0654
3712.00,0.0656
3711.00,0.0658
3710.00,0.0661
3709.00,0.0665
3708.00,0.0670
3707.00,0.0675
3706.00,0.0680
3705.00,0.0687
3704.00,0.0695
3703.00,0.0705
3702.00,0.0717
3701.00,0.0730
3700.00,0.0743
3699.00,0.0757
3698.00,0.0772
3697.00,0.0785
3696.00,0.0798
3695.00,0.0810
3694.00,0.0821
3693.00,0.0830
3692.00,0.0836
3691.00,0.0840
3690.00,0.0843
3689.00,0.0845
3688.00,0.0846
3687.00,0.0846
3686.00,0.0848
3685.00,0.0850
3684.00,0.0851
3683.00,0.0851
3682.00,0.0853
3681.00,0.0856
3680.00,0.0858
3679.00,0.0859
3678.00,0.0862
3677.00,0.0866
3676.00,0.0872
3675.00,0.0875
3674.00,0.0878
3673.00,0.0884
3672.00,0.0893
3671.00,0.0899
3670.00,0.0905
3669.00,0.0913
3668.00,0.0923
3667.00,0.0935
3666.00,0.0945
3665.00,0.0954
3664.00,0.0963
3663.00,0.0973
3662.00,0.0983
3661.00,0.0992
3660.00,0.1001
3659.00,0.1010
3658.00,0.1020
3657.00,0.1030
3656.00,0.1039
3655.00,0.1046
3654.00,0.1052
3653.00,0.1059
3652.00,0.1064
3651.00,0.1071
3650.00,0.1078
3649.00,0.1085
3648.00,0.1090
3647.00,0.1093
3646.00,0.1095
3645.00,0.1098
3644.00,0.1101
3643.00,0.1104
