Created as New Dataset,
cm-1,A
4000.00,0.0858
3999.00,0.0855
3998.00,0.0851
3997.00,0.0849
3996.00,0.0848
3995.00,0.0846
3994.00,0.0843
3993.00,0.0839
3992.00,0.0834
3991.00,0.0829
3990.00,0.0826
3989.00,0.0823
3988.00,0.0821
3987.00,0.0817
3986.00,0.0813
3985.00,0.0807
3984.00,0.0801
3983.00,0.0797
3982.00,0.0794
3981.00,0.0792
3980.00,0.0790
3979.00,0.0787
3978.00,0.0784
3977.00,0.0782
3976.00,0.0780
3975.00,0.0777
3974.00,0.0774
3973.00,0.0769
3972.00,0.0764
3971.00,0.0760
3970.00,0.0757
3969.00,0.0755
3968.00,0.0752
3967.00,0.0750
3966.00,0.0749
3965.00,0.0747
3964.00,0.0746
3963.00,0.0745
3962.00,0.0744
3961.00,0.0743
3960.00,0.0740
3959.00,0.0736
3958.00,0.0732
3957.00,0.0729
3956.00,0.0727
3955.00,0.0727
3954.00,0.0728
3953.00,0.0728
3952.00,0.0727
3951.00,0.0724
3950.00,0.0722
3949.00,0.0721
3948.00,0.0721
3947.00,0.0721
3946.00,0.0720
3945.00,0.0719
3944.00,0.0718
3943.00,0.0717
3942.00,0.0717
3941.00,0.0717
3940.00,0.0718
3939.00,0.0717
3938.00,0.0714
3937.00,0.0712
3936.00,0.0711
3935.00,0.0712
3934.00,0.0714
3933.00,0.0715
3932.00,0.0716
3931.00,0.0717
3930.00,0.0717
3929.00,0.0716
3928.00,0.0716
3927.00,0.0716
3926.00,0.0716
3925.00,0.0716
3924.00,0.0714
3923.00,0.0713
3922.00,0.0713
3921.00,0.0713
3920.00,0.0714
3919.00,0.0714
3918.00,0.0713
3917.00,0.0710
3916.00,0.0706
3915.00,0.0703
3914.00,0.0702
3913.00,0.0701
3912.00,0.0699
3911.00,0.0699
3910.00,0.0700
3909.00,0.0701
3908.00,0.0701
3907.00,0.0699
3906.00,0.0697
3905.00,0.0698
3904.00,0.0702
3903.00,0.0707
3902.00,0.0711
3901.00,0.0710
3900.00,0.0706
3899.00,0.0701
3898.00,0.0699
3897.00,0.0699
3896.00,0.0699
3895.00,0.0696
3894.00,0.0692
3893.00,0.0691
3892.00,0.0692
3891.00,0.0693
3890.00,0.0692
3889.00,0.0692
3888.00,0.0693
3887.00,0.0692
3886.00,0.0690
3885.00,0.0688
3884.00,0.0689
3883.00,0.0691
3882.00,0.0689
3881.00,0.0684
3880.00,0.0682
3879.00,0.0684
3878.00,0.0688
3877.00,0.0689
3876.00,0.0684
3875.00,0.0678
3874.00,0.0676
3873.00,0.0678
3872.00,0.0683
3871.00,0.0684
3870.00,0.0680
3869.00,0.0675
3868.00,0.0676
3867.00,0.0682
3866.00,0.0682
3865.00,0.0675
3864.00,0.0669
3863.00,0.0669
3862.00,0.0671
3861.00,0.0670
3860.00,0.0667
3859.00,0.0663
3858.00,0.0662
3857.00,0.0664
3856.00,0.0671
3855.00,0.0681
3854.00,0.0689
3853.00,0.0684
3852.00,0.0675
3851.00,0.0680
3850.00,0.0690
3849.00,0.0686
3848.00,0.0673
3847.00,0.0665
3846.00,0.0663
3845.00,0.0662
