Created as New Dataset,
cm-1,A
4000.00,0.6143
3999.00,0.6137
3998.00,0.6129
3997.00,0.6121
3996.00,0.6113
3995.00,0.6105
3994.00,0.6096
3993.00,0.6087
3992.00,0.6078
3991.00,0.6068
3990.00,0.6058
3989.00,0.6049
3988.00,0.6039
3987.00,0.6029
3986.00,0.6019
3985.00,0.6009
3984.00,0.5999
3983.00,0.5990
3982.00,0.5980
3981.00,0.5971
3980.00,0.5961
3979.00,0.5951
3978.00,0.5940
3977.00,0.5930
3976.00,0.5921
3975.00,0.5913
3974.00,0.5906
3973.00,0.5898
3972.00,0.5890
3971.00,0.5883
3970.00,0.5875
3969.00,0.5869
3968.00,0.5863
3967.00,0.5858
3966.00,0.5854
3965.00,0.5848
3964.00,0.5843
3963.00,0.5838
3962.00,0.5833
3961.00,0.5829
3960.00,0.5824
3959.00,0.5818
3958.00,0.5814
3957.00,0.5810
3956.00,0.5807
3955.00,0.5805
3954.00,0.5802
3953.00,0.5800
3952.00,0.5797
3951.00,0.5793
3950.00,0.5789
3949.00,0.5785
3948.00,0.5783
3947.00,0.5782
3946.00,0.5779
3945.00,0.5775
3944.00,0.5771
3943.00,0.5770
3942.00,0.5770
3941.00,0.5769
3940.00,0.5767
3939.00,0.5765
3938.00,0.5764
3937.00,0.5765
3936.00,0.5764
3935.00,0.5761
3934.00,0.5757
3933.00,0.5754
3932.00,0.5751
3931.00,0.5747
3930.00,0.5745
3929.00,0.5743
3928.00,0.5740
3927.00,0.5736
3926.00,0.5733
3925.00,0.5732
3924.00,0.5730
3923.00,0.5726
3922.00,0.5722
3921.00,0.5719
3920.00,0.5717
3919.00,0.5714
3918.00,0.5711
3917.00,0.5709
3916.00,0.5708
3915.00,0.5706
3914.00,0.5704
3913.00,0.5701
3912.00,0.5698
3911.00,0.5696
3910.00,0.5694
3909.00,0.5692
3908.00,0.5688
3907.00,0.5680
3906.00,0.5671
3905.00,0.5665
3904.00,0.5661
3903.00,0.5657
3902.00,0.5649
3901.00,0.5642
3900.00,0.5640
3899.00,0.5642
3898.00,0.5645
3897.00,0.5647
3896.00,0.5648
3895.00,0.5648
3894.00,0.5644
3893.00,0.5639
3892.00,0.5636
3891.00,0.5637
3890.00,0.5639
3889.00,0.5633
3888.00,0.5621
3887.00,0.5613
3886.00,0.5615
3885.00,0.5621
3884.00,0.5620
3883.00,0.5611
3882.00,0.5600
3881.00,0.5597
3880.00,0.5601
3879.00,0.5605
3878.00,0.5601
3877.00,0.5590
3876.00,0.5581
3875.00,0.5582
3874.00,0.5588
3873.00,0.5586
3872.00,0.5571
3871.00,0.5559
3870.00,0.5558
3869.00,0.5562
3868.00,0.5559
3867.00,0.5551
3866.00,0.5546
3865.00,0.5549
3864.00,0.5552
3863.00,0.5551
3862.00,0.5544
3861.00,0.5535
3860.00,0.5529
3859.00,0.5527
3858.00,0.5527
3857.00,0.5519
3856.00,0.5505
3855.00,0.5496
3854.00,0.5496
3853.00,0.5495
3852.00,0.5491
3851.00,0.5486
3850.00,0.5487
3849.00,0.5493
3848.00,0.5501
3847.00,0.5506
3846.00,0.5506
3845.00,0.5502
3844.00,0.5498
3843.00,0.5494
3842.00,0.5488
3841.00,0.5478
3840.00,0.5468
3839.00,0.5460
3838.00,0.5458
3837.00,0.5459
3836.00,0.5460
3835.00,0.5462
3834.00,0.5462
3833.00,0.5463
3832.00,0.5468
3831.00,0.5473
3830.00,0.5474
3829.00,0.5469
3828.00,0.5461
3827.00,0.5458
3826.00,0.5460
3825.00,0.5460
3824.00,0.5449
3823.00,0.5433
3822.00,0.5426
3821.00,0.5430
3820.00,0.5434
3819.00,0.5427
3818.00,0.5415
3817.00,0.5410
3816.00,0.5417
3815.00,0.5423
3814.00,0.5420
3813.00,0.5412
3812.00,0.5409
3811.00,0.5409
3810.00,0.5406
3809.00,0.5394
3808.00,0.5382
3807.00,0.5377
3806.00,0.5376
3805.00,0.5369
3804.00,0.5352
3803.00,0.5337
3802.00,0.5336
3801.00,0.5342
3800.00,0.5343
3799.00,0.5337
3798.00,0.5332
3797.00,0.5334
3796.00,0.5342
3795.00,0.5346
3794.00,0.5345
3793.00,0.5341
3792.00,0.5339
3791.00,0.5338
3790.00,0.5338
3789.00,0.5336
3788.00,0.5331
3787.00,0.5324
3786.00,0.5317
3785.00,0.5311
3784.00,0.5307
3783.00,0.5301
3782.00,0.5294
3781.00,0.5287
3780.00,0.5284
3779.00,0.5283
3778.00,0.5280
3777.00,0.5272
3776.00,0.5264
3775.00,0.5260
3774.00,0.5258
3773.00,0.5253
3772.00,0.5246
3771.00,0.5242
3770.00,0.5241
3769.00,0.5238
3768.00,0.5231
3767.00,0.5220
3766.00,0.5214
3765.00,0.5213
3764.00,0.5213
3763.00,0.5209
3762.00,0.5204
3761.00,0.5199
3760.00,0.5195
3759.00,0.5189
3758.00,0.5180
3757.00,0.5172
3756.00,0.5163
3755.00,0.5152
3754.00,0.5143
3753.00,0.5137
3752.00,0.5129
3751.00,0.5118
3750.00,0.5110
3749.00,0.5112
3748.00,0.5115
3747.00,0.5108
3746.00,0.5101
3745.00,0.5108
3744.00,0.5120
3743.00,0.5124
3742.00,0.5121
3741.00,0.5120
3740.00,0.5124
3739.00,0.5127
3738.00,0.5127
3737.00,0.5127
3736.00,0.5129
3735.00,0.5128
3734.00,0.5124
3733.00,0.5120
3732.00,0.5124
3731.00,0.5133
3730.00,0.5140
3729.00,0.5142
3728.00,0.5143
3727.00,0.5145
3726.00,0.5147
3725.00,0.5145
3724.00,0.5141
3723.00,0.5138
3722.00,0.5139
3721.00,0.5141
3720.00,0.5140
3719.00,0.5139
3718.00,0.5138
3717.00,0.5139
3716.00,0.5138
3715.00,0.5134
3714.00,0.5131
3713.00,0.5133
3712.00,0.5136
3711.00,0.5139
3710.00,0.5139
3709.00,0.5140
3708.00,0.5145
3707.00,0.5154
3706.00,0.5164
3705.00,0.5173
3704.00,0.5181
3703.00,0.5190
3702.00,0.5200
3701.00,0.5209
3700.00,0.5217
3699.00,0.5222
3698.00,0.5228
3697.00,0.5238
3696.00,0.5248
3695.00,0.5256
3694.00,0.5263
3693.00,0.5273
3692.00,0.5288
3691.00,0.5305
3690.00,0.5323
3689.00,0.5346
3688.00,0.5373
3687.00,0.5400
3686.00,0.5427
3685.00,0.5456
3684.00,0.5488
3683.00,0.5520
3682.00,0.5549
3681.00,0.5579
3680.00,0.5613
3679.00,0.5643
3678.00,0.5664
3677.00,0.5692
3676.00,0.5739
3675.00,0.5795
3674.00,0.5844
3673.00,0.5881
3672.00,0.5919
3671.00,0.5976
3670.00,0.6049
3669.00,0.6122
3668.00,0.6186
3667.00,0.6244
3666.00,0.6304
3665.00,0.6367
3664.00,0.6433
3663.00,0.6498
3662.00,0.6563
3661.00,0.6628
3660.00,0.6693
3659.00,0.6755
3658.00,0.6822
3657.00,0.6904
3656.00,0.7001
3655.00,0.7100
3654.00,0.7193
3653.00,0.7292
3652.00,0.7421
3651.00,0.7608
3650.00,0.7862
3649.00,0.8174
3648.00,0.8518
3647.00,0.8852
3646.00,0.9140
3645.00,0.9365
3644.00,0.9526
3643.00,0.9624
3642.00,0.9660
3641.00,0.9639
3640.00,0.9571
3639.00,0.9474
3638.00,0.9366
3637.00,0.9260
3636.00,0.9165
3635.00,0.9086
3634.00,0.9031
3633.00,0.8994
3632.00,0.8965
3631.00,0.8941
3630.00,0.8937
3629.00,0.8959
3628.00,0.8993
3627.00,0.9026
3626.00,0.9055
3625.00,0.9087
3624.00,0.9123
3623.00,0.9158
3622.00,0.9191
3621.00,0.9224
3620.00,0.9264
3619.00,0.9309
3618.00,0.9355
3617.00,0.9396
3616.00,0.9431
3615.00,0.9463
3614.00,0.9500
3613.00,0.9542
3612.00,0.9583
3611.00,0.9619
3610.00,0.9654
3609.00,0.9695
3608.00,0.9739
3607.00,0.9779
3606.00,0.9812
3605.00,0.9840
3604.00,0.9866
3603.00,0.9890
3602.00,0.9913
3601.00,0.9935
3600.00,0.9955
3599.00,0.9968
3598.00,0.9977
3597.00,0.9983
3596.00,0.9987
3595.00,0.9988
3594.00,0.9988
3593.00,0.9989
3592.00,0.9989
3591.00,0.9985
3590.00,0.9980
3589.00,0.9978
3588.00,0.9981
3587.00,0.9987
3586.00,0.9991
3585.00,0.9995
3584.00,0.9999
3583.00,1.0001
3582.00,1.0003
3581.00,1.0004
3580.00,1.0003
3579.00,1.0001
3578.00,0.9999
3577.00,0.9997
3576.00,0.9996
3575.00,0.9993
3574.00,0.9990
3573.00,0.9987
3572.00,0.9982
3571.00,0.9973
3570.00,0.9961
3569.00,0.9951
3568.00,0.9945
3567.00,0.9944
