Created as New Dataset,
cm-1,A
4000.00,0.4224
3999.00,0.4221
3998.00,0.4219
3997.00,0.4217
3996.00,0.4215
3995.00,0.4213
3994.00,0.4211
3993.00,0.4208
3992.00,0.4205
3991.00,0.4201
3990.00,0.4196
3989.00,0.4192
3988.00,0.4187
3987.00,0.4182
3986.00,0.4177
3985.00,0.4173
3984.00,0.4169
3983.00,0.4165
3982.00,0.4160
3981.00,0.4156
3980.00,0.4152
3979.00,0.4148
3978.00,0.4144
3977.00,0.4140
3976.00,0.4135
3975.00,0.4131
3974.00,0.4127
3973.00,0.4123
3972.00,0.4119
3971.00,0.4115
3970.00,0.4111
3969.00,0.4107
3968.00,0.4104
3967.00,0.4101
3966.00,0.4098
3965.00,0.4094
3964.00,0.4090
3963.00,0.4086
3962.00,0.4083
3961.00,0.4081
3960.00,0.4079
3959.00,0.4077
3958.00,0.4074
3957.00,0.4072
3956.00,0.4069
3955.00,0.4067
3954.00,0.4066
3953.00,0.4064
3952.00,0.4063
3951.00,0.4062
3950.00,0.4061
3949.00,0.4060
3948.00,0.4058
3947.00,0.4057
3946.00,0.4056
3945.00,0.4056
3944.00,0.4055
3943.00,0.4054
3942.00,0.4054
3941.00,0.4054
3940.00,0.4054
3939.00,0.4053
3938.00,0.4052
3937.00,0.4051
3936.00,0.4050
3935.00,0.4050
3934.00,0.4049
3933.00,0.4048
3932.00,0.4047
3931.00,0.4047
3930.00,0.4046
3929.00,0.4046
3928.00,0.4045
3927.00,0.4045
3926.00,0.4044
3925.00,0.4043
3924.00,0.4042
3923.00,0.4042
3922.00,0.4041
3921.00,0.4041
3920.00,0.4040
3919.00,0.4040
3918.00,0.4040
3917.00,0.4040
3916.00,0.4039
3915.00,0.4038
3914.00,0.4038
3913.00,0.4037
3912.00,0.4036
3911.00,0.4035
3910.00,0.4034
3909.00,0.4033
3908.00,0.4033
3907.00,0.4032
3906.00,0.4031
3905.00,0.4029
3904.00,0.4027
3903.00,0.4024
3902.00,0.4023
3901.00,0.4022
3900.00,0.4021
3899.00,0.4020
3898.00,0.4020
3897.00,0.4019
3896.00,0.4017
3895.00,0.4015
3894.00,0.4013
3893.00,0.4011
3892.00,0.4009
3891.00,0.4007
3890.00,0.4005
3889.00,0.4004
3888.00,0.4003
3887.00,0.4000
3886.00,0.3997
3885.00,0.3993
3884.00,0.3992
3883.00,0.3993
3882.00,0.3992
3881.00,0.3990
3880.00,0.3988
3879.00,0.3988
3878.00,0.3988
3877.00,0.3988
3876.00,0.3985
3875.00,0.3983
3874.00,0.3982
3873.00,0.3982
3872.00,0.3983
3871.00,0.3981
3870.00,0.3979
3869.00,0.3977
3868.00,0.3977
3867.00,0.3979
3866.00,0.3979
3865.00,0.3977
3864.00,0.3977
3863.00,0.3977
3862.00,0.3977
3861.00,0.3975
3860.00,0.3973
3859.00,0.3971
3858.00,0.3970
3857.00,0.3971
3856.00,0.3973
3855.00,0.3975
3854.00,0.3973
3853.00,0.3970
3852.00,0.3970
3851.00,0.3973
3850.00,0.3973
