Created as New Dataset,
cm-1,A
4000.00,0.6677
3999.00,0.6676
3998.00,0.6672
3997.00,0.6666
3996.00,0.6660
3995.00,0.6657
3994.00,0.6655
3993.00,0.6655
3992.00,0.6655
3991.00,0.6654
3990.00,0.6649
3989.00,0.6642
3988.00,0.6634
3987.00,0.6630
3986.00,0.6628
3985.00,0.6626
3984.00,0.6621
3983.00,0.6610
3982.00,0.6599
3981.00,0.6590
3980.00,0.6588
3979.00,0.6590
3978.00,0.6593
3977.00,0.6593
3976.00,0.6588
3975.00,0.6581
3974.00,0.6574
3973.00,0.6569
3972.00,0.6567
3971.00,0.6566
3970.00,0.6565
3969.00,0.6561
3968.00,0.6554
3967.00,0.6545
3966.00,0.6538
3965.00,0.6535
3964.00,0.6535
3963.00,0.6537
3962.00,0.6538
3961.00,0.6539
3960.00,0.6539
3959.00,0.6537
3958.00,0.6534
3957.00,0.6531
3956.00,0.6528
3955.00,0.6527
3954.00,0.6526
3953.00,0.6524
3952.00,0.6521
3951.00,0.6517
3950.00,0.6514
3949.00,0.6513
3948.00,0.6512
3947.00,0.6512
3946.00,0.6511
3945.00,0.6509
3944.00,0.6509
3943.00,0.6512
3942.00,0.6517
3941.00,0.6521
3940.00,0.6522
3939.00,0.6518
3938.00,0.6510
3937.00,0.6502
3936.00,0.6496
3935.00,0.6494
3934.00,0.6496
3933.00,0.6498
3932.00,0.6499
3931.00,0.6500
3930.00,0.6501
3929.00,0.6501
3928.00,0.6501
3927.00,0.6501
3926.00,0.6500
3925.00,0.6499
3924.00,0.6496
3923.00,0.6495
3922.00,0.6494
3921.00,0.6495
3920.00,0.6494
3919.00,0.6493
3918.00,0.6493
3917.00,0.6493
3916.00,0.6494
3915.00,0.6494
3914.00,0.6493
3913.00,0.6491
3912.00,0.6489
3911.00,0.6488
3910.00,0.6487
3909.00,0.6485
3908.00,0.6482
3907.00,0.6480
3906.00,0.6480
3905.00,0.6483
3904.00,0.6486
3903.00,0.6488
3902.00,0.6487
3901.00,0.6488
3900.00,0.6489
3899.00,0.6489
3898.00,0.6487
3897.00,0.6482
3896.00,0.6478
3895.00,0.6476
3894.00,0.6474
3893.00,0.6473
3892.00,0.6471
3891.00,0.6468
3890.00,0.6464
3889.00,0.6459
3888.00,0.6459
3887.00,0.6462
3886.00,0.6466
3885.00,0.6466
3884.00,0.6463
3883.00,0.6461
3882.00,0.6463
3881.00,0.6467
3880.00,0.6470
3879.00,0.6472
3878.00,0.6472
3877.00,0.6472
3876.00,0.6473
3875.00,0.6469
3874.00,0.6460
3873.00,0.6449
3872.00,0.6443
3871.00,0.6443
3870.00,0.6446
3869.00,0.6446
3868.00,0.6447
3867.00,0.6450
3866.00,0.6455
3865.00,0.6458
3864.00,0.6457
3863.00,0.6454
3862.00,0.6451
3861.00,0.6447
3860.00,0.6441
3859.00,0.6436
3858.00,0.6432
3857.00,0.6430
3856.00,0.6428
3855.00,0.6427
3854.00,0.6425
3853.00,0.6424
3852.00,0.6425
3851.00,0.6426
3850.00,0.6427
3849.00,0.6427
3848.00,0.6424
3847.00,0.6419
3846.00,0.6416
3845.00,0.6415
3844.00,0.6414
3843.00,0.6411
3842.00,0.6408
3841.00,0.6409
3840.00,0.6415
3839.00,0.6423
3838.00,0.6427
3837.00,0.6424
3836.00,0.6418
3835.00,0.6416
3834.00,0.6417
3833.00,0.6418
3832.00,0.6416
3831.00,0.6411
3830.00,0.6407
3829.00,0.6404
3828.00,0.6402
3827.00,0.6399
3826.00,0.6394
3825.00,0.6388
3824.00,0.6384
3823.00,0.6385
3822.00,0.6387
3821.00,0.6389
3820.00,0.6390
3819.00,0.6391
3818.00,0.6391
3817.00,0.6390
3816.00,0.6385
3815.00,0.6377
3814.00,0.6372
3813.00,0.6371
3812.00,0.6371
3811.00,0.6369
3810.00,0.6365
3809.00,0.6361
3808.00,0.6359
3807.00,0.6356
3806.00,0.6350
3805.00,0.6344
3804.00,0.6343
3803.00,0.6349
3802.00,0.6357
3801.00,0.6361
3800.00,0.6359
3799.00,0.6354
3798.00,0.6353
3797.00,0.6354
3796.00,0.6352
3795.00,0.6345
3794.00,0.6336
3793.00,0.6329
3792.00,0.6325
3791.00,0.6323
3790.00,0.6321
3789.00,0.6317
3788.00,0.6311
3787.00,0.6306
3786.00,0.6304
3785.00,0.6304
3784.00,0.6306
3783.00,0.6308
3782.00,0.6309
3781.00,0.6308
3780.00,0.6305
3779.00,0.6299
3778.00,0.6293
3777.00,0.6287
3776.00,0.6284
3775.00,0.6284
3774.00,0.6287
3773.00,0.6290
3772.00,0.6293
3771.00,0.6291
3770.00,0.6284
3769.00,0.6277
3768.00,0.6275
3767.00,0.6279
3766.00,0.6284
3765.00,0.6287
3764.00,0.6286
3763.00,0.6283
3762.00,0.6280
3761.00,0.6277
3760.00,0.6274
3759.00,0.6272
3758.00,0.6273
3757.00,0.6274
3756.00,0.6271
3755.00,0.6262
3754.00,0.6251
3753.00,0.6242
3752.00,0.6241
3751.00,0.6248
3750.00,0.6258
3749.00,0.6261
3748.00,0.6258
3747.00,0.6258
3746.00,0.6264
3745.00,0.6272
3744.00,0.6271
3743.00,0.6259
3742.00,0.6246
3741.00,0.6240
3740.00,0.6241
3739.00,0.6243
3738.00,0.6243
3737.00,0.6240
3736.00,0.6237
3735.00,0.6237
3734.00,0.6242
3733.00,0.6248
3732.00,0.6247
3731.00,0.6240
3730.00,0.6231
3729.00,0.6228
3728.00,0.6229
3727.00,0.6229
3726.00,0.6225
3725.00,0.6219
3724.00,0.6214
3723.00,0.6213
3722.00,0.6216
3721.00,0.6221
3720.00,0.6224
3719.00,0.6222
3718.00,0.6217
3717.00,0.6209
3716.00,0.6201
3715.00,0.6198
3714.00,0.6200
3713.00,0.6206
3712.00,0.6210
3711.00,0.6210
3710.00,0.6208
3709.00,0.6207
3708.00,0.6207
3707.00,0.6209
3706.00,0.6208
3705.00,0.6205
3704.00,0.6201
3703.00,0.6198
3702.00,0.6198
3701.00,0.6202
3700.00,0.6205
3699.00,0.6205
3698.00,0.6201
3697.00,0.6196
3696.00,0.6193
3695.00,0.6193
3694.00,0.6198
3693.00,0.6203
3692.00,0.6206
3691.00,0.6205
3690.00,0.6206
3689.00,0.6210
3688.00,0.6215
3687.00,0.6217
3686.00,0.6215
3685.00,0.6211
3684.00,0.6207
3683.00,0.6203
3682.00,0.6202
3681.00,0.6204
3680.00,0.6206
3679.00,0.6205
3678.00,0.6204
3677.00,0.6207
3676.00,0.6215
3675.00,0.6224
3674.00,0.6227
3673.00,0.6224
3672.00,0.6222
3671.00,0.6224
3670.00,0.6228
3669.00,0.6232
3668.00,0.6233
3667.00,0.6230
3666.00,0.6225
3665.00,0.6220
3664.00,0.6217
3663.00,0.6215
3662.00,0.6214
3661.00,0.6214
3660.00,0.6215
3659.00,0.6220
3658.00,0.6228
3657.00,0.6234
3656.00,0.6237
3655.00,0.6239
3654.00,0.6241
3653.00,0.6246
3652.00,0.6252
3651.00,0.6257
3650.00,0.6260
3649.00,0.6267
3648.00,0.6275
3647.00,0.6282
3646.00,0.6284
3645.00,0.6285
3644.00,0.6284
3643.00,0.6285
3642.00,0.6287
3641.00,0.6292
3640.00,0.6299
3639.00,0.6306
3638.00,0.6311
3637.00,0.6315
3636.00,0.6320
3635.00,0.6326
3634.00,0.6334
3633.00,0.6344
3632.00,0.6357
3631.00,0.6374
3630.00,0.6396
3629.00,0.6421
3628.00,0.6445
3627.00,0.6464
3626.00,0.6480
3625.00,0.6496
3624.00,0.6510
3623.00,0.6516
3622.00,0.6511
3621.00,0.6496
3620.00,0.6474
3619.00,0.6450
3618.00,0.6430
3617.00,0.6414
3616.00,0.6400
3615.00,0.6388
3614.00,0.6377
3613.00,0.6370
3612.00,0.6368
3611.00,0.6370
3610.00,0.6373
3609.00,0.6375
3608.00,0.6373
3607.00,0.6370
3606.00,0.6368
3605.00,0.6369
3604.00,0.6369
3603.00,0.6369
3602.00,0.6367
3601.00,0.6363
3600.00,0.6359
3599.00,0.6353
3598.00,0.6347
3597.00,0.6341
3596.00,0.6334
3595.00,0.6327
3594.00,0.6321
3593.00,0.6320
3592.00,0.6322
3591.00,0.6322
3590.00,0.6319
3589.00,0.6313
3588.00,0.6307
3587.00,0.6304
3586.00,0.6306
3585.00,0.6307
3584.00,0.6307
3583.00,0.6308
3582.00,0.6307
3581.00,0.6305
3580.00,0.6301
3579.00,0.6295
3578.00,0.6291
3577.00,0.6289
3576.00,0.6287
3575.00,0.6286
3574.00,0.6283
3573.00,0.6281
3572.00,0.6282
3571.00,0.6285
3570.00,0.6290
3569.00,0.6292
3568.00,0.6290
3567.00,0.6287
3566.00,0.6288
3565.00,0.6293
3564.00,0.6300
3563.00,0.6305
3562.00,0.6307
3561.00,0.6309
3560.00,0.6311
3559.00,0.6315
3558.00,0.6318
3557.00,0.6321
3556.00,0.6322
3555.00,0.6322
3554.00,0.6325
3553.00,0.6330
3552.00,0.6336
3551.00,0.6340
3550.00,0.6342
3549.00,0.6343
3548.00,0.6346
3547.00,0.6352
3546.00,0.6360
3545.00,0.6367
3544.00,0.6373
3543.00,0.6379
3542.00,0.6385
3541.00,0.6390
3540.00,0.6392
3539.00,0.6392
3538.00,0.6393
3537.00,0.6396
3536.00,0.6402
3535.00,0.6407
3534.00,0.6412
3533.00,0.6416
3532.00,0.6422
3531.00,0.6429
3530.00,0.6435
3529.00,0.6441
3528.00,0.6446
3527.00,0.6451
3526.00,0.6456
3525.00,0.6459
3524.00,0.6461
3523.00,0.6465
3522.00,0.6472
3521.00,0.6479
3520.00,0.6486
3519.00,0.6491
3518.00,0.6497
3517.00,0.6506
3516.00,0.6517
3515.00,0.6528
3514.00,0.6536
3513.00,0.6540
3512.00,0.6543
3511.00,0.6547
3510.00,0.6552
3509.00,0.6558
3508.00,0.6563
3507.00,0.6569
3506.00,0.6576
3505.00,0.6585
3504.00,0.6595
3503.00,0.6604
3502.00,0.6613
3501.00,0.6621
3500.00,0.6629
3499.00,0.6638
3498.00,0.6646
3497.00,0.6653
3496.00,0.6662
3495.00,0.6671
3494.00,0.6680
3493.00,0.6686
3492.00,0.6693
3491.00,0.6700
3490.00,0.6710
3489.00,0.6723
3488.00,0.6735
3487.00,0.6743
3486.00,0.6749
3485.00,0.6754
3484.00,0.6760
3483.00,0.6769
3482.00,0.6777
3481.00,0.6785
3480.00,0.6792
3479.00,0.6800
3478.00,0.6812
3477.00,0.6824
3476.00,0.6835
3475.00,0.6843
3474.00,0.6849
3473.00,0.6856
3472.00,0.6865
3471.00,0.6874
3470.00,0.6882
3469.00,0.6890
3468.00,0.6898
3467.00,0.6906
3466.00,0.6914
3465.00,0.6922
3464.00,0.6931
3463.00,0.6944
3462.00,0.6958
3461.00,0.6971
3460.00,0.6983
3459.00,0.6994
3458.00,0.7004
3457.00,0.7014
3456.00,0.7025
3455.00,0.7037
3454.00,0.7050
3453.00,0.7063
3452.00,0.7076
3451.00,0.7089
3450.00,0.7103
3449.00,0.7119
3448.00,0.7134
3447.00,0.7148
3446.00,0.7162
3445.00,0.7178
3444.00,0.7200
3443.00,0.7225
3442.00,0.7249
3441.00,0.7271
3440.00,0.7291
3439.00,0.7311
3438.00,0.7332
3437.00,0.7351
3436.00,0.7367
3435.00,0.7378
3434.00,0.7386
3433.00,0.7394
3432.00,0.7402
3431.00,0.7411
3430.00,0.7423
3429.00,0.7438
3428.00,0.7456
3427.00,0.7474
3426.00,0.7489
3425.00,0.7502
3424.00,0.7514
3423.00,0.7524
3422.00,0.7534
3421.00,0.7544
3420.00,0.7553
3419.00,0.7562
3418.00,0.7572
3417.00,0.7583
3416.00,0.7597
3415.00,0.7611
3414.00,0.7626
3413.00,0.7641
3412.00,0.7657
3411.00,0.7673
3410.00,0.7690
3409.00,0.7705
3408.00,0.7719
3407.00,0.7729
3406.00,0.7737
3405.00,0.7743
3404.00,0.7750
3403.00,0.7759
3402.00,0.7769
3401.00,0.7781
3400.00,0.7794
3399.00,0.7811
3398.00,0.7829
3397.00,0.7848
3396.00,0.7865
3395.00,0.7878
3394.00,0.7888
3393.00,0.7895
3392.00,0.7899
3391.00,0.7902
3390.00,0.7903
3389.00,0.7905
