Created as New Dataset,
cm-1,A
4000.00,0.2975
3999.00,0.2972
3998.00,0.2969
3997.00,0.2967
3996.00,0.2964
3995.00,0.2962
3994.00,0.2959
3993.00,0.2955
3992.00,0.2951
3991.00,0.2947
3990.00,0.2943
3989.00,0.2939
3988.00,0.2936
3987.00,0.2932
3986.00,0.2929
3985.00,0.2926
3984.00,0.2922
3983.00,0.2918
3982.00,0.2914
3981.00,0.2910
3980.00,0.2906
3979.00,0.2903
3978.00,0.2900
3977.00,0.2896
3976.00,0.2892
3975.00,0.2889
3974.00,0.2886
3973.00,0.2882
3972.00,0.2880
3971.00,0.2877
3970.00,0.2873
3969.00,0.2870
3968.00,0.2867
3967.00,0.2865
3966.00,0.2862
3965.00,0.2860
3964.00,0.2857
3963.00,0.2855
3962.00,0.2853
3961.00,0.2851
3960.00,0.2850
3959.00,0.2849
3958.00,0.2848
3957.00,0.2846
3956.00,0.2845
3955.00,0.2844
3954.00,0.2842
3953.00,0.2841
3952.00,0.2840
3951.00,0.2838
3950.00,0.2837
3949.00,0.2836
3948.00,0.2835
3947.00,0.2834
3946.00,0.2833
3945.00,0.2832
3944.00,0.2831
3943.00,0.2829
3942.00,0.2828
3941.00,0.2827
3940.00,0.2828
3939.00,0.2827
3938.00,0.2827
3937.00,0.2826
3936.00,0.2826
3935.00,0.2826
3934.00,0.2825
3933.00,0.2824
3932.00,0.2824
3931.00,0.2823
3930.00,0.2823
3929.00,0.2822
3928.00,0.2822
3927.00,0.2822
3926.00,0.2822
3925.00,0.2822
3924.00,0.2822
3923.00,0.2822
3922.00,0.2822
3921.00,0.2822
3920.00,0.2822
3919.00,0.2822
3918.00,0.2822
3917.00,0.2822
3916.00,0.2822
3915.00,0.2821
3914.00,0.2821
3913.00,0.2821
3912.00,0.2820
3911.00,0.2818
3910.00,0.2817
3909.00,0.2816
3908.00,0.2815
3907.00,0.2814
3906.00,0.2813
3905.00,0.2812
3904.00,0.2811
3903.00,0.2811
3902.00,0.2811
3901.00,0.2811
3900.00,0.2809
3899.00,0.2807
3898.00,0.2806
3897.00,0.2805
3896.00,0.2805
3895.00,0.2803
3894.00,0.2802
3893.00,0.2802
3892.00,0.2802
3891.00,0.2800
3890.00,0.2798
3889.00,0.2798
3888.00,0.2799
3887.00,0.2798
3886.00,0.2795
3885.00,0.2792
3884.00,0.2792
3883.00,0.2793
3882.00,0.2794
3881.00,0.2791
3880.00,0.2789
3879.00,0.2788
3878.00,0.2790
3877.00,0.2791
3876.00,0.2789
3875.00,0.2786
3874.00,0.2782
3873.00,0.2782
3872.00,0.2783
3871.00,0.2782
3870.00,0.2778
3869.00,0.2773
3868.00,0.2771
3867.00,0.2772
3866.00,0.2770
3865.00,0.2765
3864.00,0.2762
3863.00,0.2762
3862.00,0.2763
3861.00,0.2763
3860.00,0.2761
3859.00,0.2759
3858.00,0.2757
3857.00,0.2757
3856.00,0.2760
3855.00,0.2763
3854.00,0.2762
3853.00,0.2755
3852.00,0.2751
3851.00,0.2755
3850.00,0.2758
3849.00,0.2755
3848.00,0.2751
3847.00,0.2750
3846.00,0.2752
3845.00,0.2753
3844.00,0.2754
3843.00,0.2754
3842.00,0.2753
3841.00,0.2752
3840.00,0.2751
3839.00,0.2750
3838.00,0.2747
3837.00,0.2745
3836.00,0.2744
3835.00,0.2743
3834.00,0.2742
3833.00,0.2741
3832.00,0.2739
3831.00,0.2738
3830.00,0.2739
3829.00,0.2739
3828.00,0.2739
3827.00,0.2737
3826.00,0.2734
3825.00,0.2734
3824.00,0.2735
3823.00,0.2735
3822.00,0.2734
3821.00,0.2729
3820.00,0.2725
3819.00,0.2726
3818.00,0.2727
3817.00,0.2724
3816.00,0.2720
3815.00,0.2717
3814.00,0.2720
3813.00,0.2722
3812.00,0.2721
3811.00,0.2717
3810.00,0.2714
3809.00,0.2715
3808.00,0.2714
3807.00,0.2710
3806.00,0.2704
3805.00,0.2703
3804.00,0.2703
3803.00,0.2702
3802.00,0.2697
3801.00,0.2692
3800.00,0.2690
3799.00,0.2691
3798.00,0.2691
3797.00,0.2687
3796.00,0.2684
3795.00,0.2684
3794.00,0.2685
3793.00,0.2685
3792.00,0.2682
3791.00,0.2679
3790.00,0.2677
3789.00,0.2676
3788.00,0.2675
3787.00,0.2673
3786.00,0.2672
3785.00,0.2670
3784.00,0.2668
3783.00,0.2666
3782.00,0.2666
3781.00,0.2665
3780.00,0.2663
3779.00,0.2660
3778.00,0.2658
3777.00,0.2657
3776.00,0.2656
3775.00,0.2654
3774.00,0.2652
3773.00,0.2651
3772.00,0.2650
3771.00,0.2648
3770.00,0.2646
3769.00,0.2643
3768.00,0.2642
3767.00,0.2642
3766.00,0.2639
3765.00,0.2636
3764.00,0.2633
3763.00,0.2633
3762.00,0.2632
3761.00,0.2629
3760.00,0.2626
3759.00,0.2624
3758.00,0.2623
3757.00,0.2621
3756.00,0.2618
3755.00,0.2616
3754.00,0.2615
3753.00,0.2614
3752.00,0.2612
3751.00,0.2610
3750.00,0.2605
3749.00,0.2600
3748.00,0.2599
3747.00,0.2599
3746.00,0.2600
3745.00,0.2600
3744.00,0.2597
3743.00,0.2596
3742.00,0.2600
3741.00,0.2602
3740.00,0.2598
3739.00,0.2594
3738.00,0.2595
3737.00,0.2598
3736.00,0.2598
3735.00,0.2596
3734.00,0.2596
3733.00,0.2596
3732.00,0.2595
3731.00,0.2593
3730.00,0.2592
3729.00,0.2592
3728.00,0.2591
3727.00,0.2589
3726.00,0.2588
3725.00,0.2587
3724.00,0.2587
3723.00,0.2586
3722.00,0.2585
3721.00,0.2584
3720.00,0.2583
3719.00,0.2582
3718.00,0.2581
3717.00,0.2578
3716.00,0.2577
3715.00,0.2576
3714.00,0.2576
3713.00,0.2576
3712.00,0.2575
3711.00,0.2574
3710.00,0.2574
3709.00,0.2575
3708.00,0.2576
3707.00,0.2576
3706.00,0.2576
3705.00,0.2577
3704.00,0.2578
3703.00,0.2579
3702.00,0.2580
3701.00,0.2579
3700.00,0.2579
3699.00,0.2580
3698.00,0.2579
3697.00,0.2578
3696.00,0.2577
3695.00,0.2577
3694.00,0.2577
3693.00,0.2576
3692.00,0.2575
3691.00,0.2575
3690.00,0.2575
3689.00,0.2574
3688.00,0.2572
3687.00,0.2571
3686.00,0.2572
3685.00,0.2572
3684.00,0.2571
3683.00,0.2570
3682.00,0.2570
3681.00,0.2571
3680.00,0.2570
3679.00,0.2570
3678.00,0.2571
3677.00,0.2572
3676.00,0.2571
3675.00,0.2565
3674.00,0.2563
3673.00,0.2565
3672.00,0.2567
3671.00,0.2566
3670.00,0.2565
3669.00,0.2566
3668.00,0.2570
3667.00,0.2574
3666.00,0.2575
3665.00,0.2575
3664.00,0.2575
3663.00,0.2578
3662.00,0.2580
3661.00,0.2582
3660.00,0.2583
3659.00,0.2585
3658.00,0.2588
3657.00,0.2589
3656.00,0.2589
3655.00,0.2590
3654.00,0.2591
3653.00,0.2593
3652.00,0.2594
3651.00,0.2595
3650.00,0.2597
3649.00,0.2599
3648.00,0.2601
3647.00,0.2603
3646.00,0.2606
3645.00,0.2609
3644.00,0.2612
3643.00,0.2615
3642.00,0.2619
3641.00,0.2624
3640.00,0.2629
3639.00,0.2635
3638.00,0.2640
3637.00,0.2645
3636.00,0.2651
3635.00,0.2657
3634.00,0.2662
3633.00,0.2668
3632.00,0.2677
3631.00,0.2691
3630.00,0.2708
3629.00,0.2726
3628.00,0.2745
3627.00,0.2765
3626.00,0.2782
3625.00,0.2790
3624.00,0.2789
3623.00,0.2785
3622.00,0.2777
3621.00,0.2765
3620.00,0.2748
3619.00,0.2728
3618.00,0.2710
3617.00,0.2696
3616.00,0.2685
3615.00,0.2676
3614.00,0.2669
3613.00,0.2664
3612.00,0.2662
3611.00,0.2661
3610.00,0.2660
3609.00,0.2659
3608.00,0.2658
3607.00,0.2659
3606.00,0.2660
3605.00,0.2660
3604.00,0.2659
3603.00,0.2657
3602.00,0.2654
3601.00,0.2648
3600.00,0.2642
3599.00,0.2634
3598.00,0.2625
3597.00,0.2616
3596.00,0.2607
3595.00,0.2598
3594.00,0.2590
3593.00,0.2583
3592.00,0.2577
3591.00,0.2571
3590.00,0.2566
3589.00,0.2560
3588.00,0.2555
3587.00,0.2549
3586.00,0.2545
3585.00,0.2542
3584.00,0.2539
3583.00,0.2535
3582.00,0.2531
3581.00,0.2527
3580.00,0.2524
3579.00,0.2521
3578.00,0.2519
3577.00,0.2516
3576.00,0.2514
3575.00,0.2513
3574.00,0.2512
3573.00,0.2511
3572.00,0.2510
3571.00,0.2509
3570.00,0.2508
3569.00,0.2508
3568.00,0.2508
3567.00,0.2508
3566.00,0.2508
3565.00,0.2509
3564.00,0.2511
3563.00,0.2513
3562.00,0.2514
3561.00,0.2516
3560.00,0.2518
3559.00,0.2520
3558.00,0.2522
3557.00,0.2524
3556.00,0.2525
3555.00,0.2527
3554.00,0.2529
3553.00,0.2531
3552.00,0.2534
3551.00,0.2537
