Created as New Dataset,
cm-1,A
4000.00,0.2607
3999.00,0.2604
3998.00,0.2602
3997.00,0.2599
3996.00,0.2597
3995.00,0.2594
3994.00,0.2591
3993.00,0.2589
3992.00,0.2586
3991.00,0.2584
3990.00,0.2581
3989.00,0.2577
3988.00,0.2573
3987.00,0.2569
3986.00,0.2565
3985.00,0.2561
3984.00,0.2558
3983.00,0.2554
3982.00,0.2551
3981.00,0.2547
3980.00,0.2543
3979.00,0.2540
3978.00,0.2537
3977.00,0.2534
3976.00,0.2531
3975.00,0.2528
3974.00,0.2524
3973.00,0.2521
3972.00,0.2518
3971.00,0.2516
3970.00,0.2513
3969.00,0.2511
3968.00,0.2509
3967.00,0.2506
3966.00,0.2504
3965.00,0.2502
3964.00,0.2500
3963.00,0.2499
3962.00,0.2497
3961.00,0.2495
3960.00,0.2494
3959.00,0.2492
3958.00,0.2492
3957.00,0.2491
3956.00,0.2490
3955.00,0.2489
3954.00,0.2488
3953.00,0.2488
3952.00,0.2487
3951.00,0.2487
3950.00,0.2486
3949.00,0.2484
3948.00,0.2482
3947.00,0.2480
3946.00,0.2480
3945.00,0.2480
3944.00,0.2479
3943.00,0.2478
3942.00,0.2476
3941.00,0.2474
3940.00,0.2472
3939.00,0.2471
3938.00,0.2470
3937.00,0.2469
3936.00,0.2467
3935.00,0.2467
3934.00,0.2468
3933.00,0.2468
3932.00,0.2469
3931.00,0.2470
3930.00,0.2470
3929.00,0.2470
3928.00,0.2471
3927.00,0.2472
3926.00,0.2472
3925.00,0.2471
3924.00,0.2470
3923.00,0.2470
3922.00,0.2471
3921.00,0.2473
3920.00,0.2475
3919.00,0.2476
3918.00,0.2476
3917.00,0.2476
3916.00,0.2475
3915.00,0.2474
3914.00,0.2474
3913.00,0.2472
3912.00,0.2470
3911.00,0.2467
3910.00,0.2465
3909.00,0.2464
3908.00,0.2465
3907.00,0.2468
3906.00,0.2472
3905.00,0.2475
3904.00,0.2478
3903.00,0.2481
3902.00,0.2485
3901.00,0.2490
3900.00,0.2493
3899.00,0.2491
3898.00,0.2486
3897.00,0.2480
3896.00,0.2475
3895.00,0.2471
3894.00,0.2469
