Created as New Dataset,
cm-1,A
4000.00,0.3844
3999.00,0.3843
3998.00,0.3843
3997.00,0.3843
3996.00,0.3842
3995.00,0.3841
3994.00,0.3839
3993.00,0.3836
3992.00,0.3834
3991.00,0.3831
3990.00,0.3827
3989.00,0.3823
3988.00,0.3819
3987.00,0.3815
3986.00,0.3811
3985.00,0.3807
3984.00,0.3803
3983.00,0.3799
3982.00,0.3795
3981.00,0.3790
3980.00,0.3785
3979.00,0.3780
3978.00,0.3776
3977.00,0.3771
3976.00,0.3767
3975.00,0.3764
3974.00,0.3759
3973.00,0.3755
3972.00,0.3752
3971.00,0.3748
3970.00,0.3745
3969.00,0.3741
3968.00,0.3737
3967.00,0.3733
3966.00,0.3728
3965.00,0.3723
3964.00,0.3718
3963.00,0.3712
3962.00,0.3707
3961.00,0.3702
3960.00,0.3696
3959.00,0.3692
3958.00,0.3688
3957.00,0.3684
3956.00,0.3681
3955.00,0.3678
3954.00,0.3675
3953.00,0.3673
3952.00,0.3670
3951.00,0.3668
3950.00,0.3665
3949.00,0.3663
3948.00,0.3660
3947.00,0.3658
3946.00,0.3656
3945.00,0.3654
3944.00,0.3652
3943.00,0.3650
3942.00,0.3647
3941.00,0.3645
3940.00,0.3643
3939.00,0.3641
3938.00,0.3639
3937.00,0.3638
3936.00,0.3638
3935.00,0.3637
3934.00,0.3637
3933.00,0.3636
3932.00,0.3636
3931.00,0.3635
3930.00,0.3635
3929.00,0.3635
3928.00,0.3635
3927.00,0.3635
3926.00,0.3635
3925.00,0.3634
3924.00,0.3634
3923.00,0.3634
3922.00,0.3635
3921.00,0.3635
3920.00,0.3635
3919.00,0.3635
3918.00,0.3635
3917.00,0.3634
3916.00,0.3633
3915.00,0.3633
3914.00,0.3632
3913.00,0.3631
3912.00,0.3630
3911.00,0.3629
3910.00,0.3628
3909.00,0.3627
3908.00,0.3628
3907.00,0.3628
3906.00,0.3628
3905.00,0.3627
3904.00,0.3626
3903.00,0.3625
3902.00,0.3624
3901.00,0.3623
3900.00,0.3622
3899.00,0.3622
3898.00,0.3621
3897.00,0.3619
3896.00,0.3617
3895.00,0.3614
3894.00,0.3611
3893.00,0.3609
3892.00,0.3607
3891.00,0.3606
3890.00,0.3605
3889.00,0.3604
3888.00,0.3602
3887.00,0.3601
3886.00,0.3600
3885.00,0.3600
3884.00,0.3599
3883.00,0.3597
3882.00,0.3595
3881.00,0.3594
3880.00,0.3593
3879.00,0.3592
3878.00,0.3591
3877.00,0.3590
3876.00,0.3590
3875.00,0.3591
3874.00,0.3591
3873.00,0.3591
3872.00,0.3590
3871.00,0.3589
3870.00,0.3589
3869.00,0.3589
3868.00,0.3589
3867.00,0.3587
3866.00,0.3585
3865.00,0.3584
3864.00,0.3583
3863.00,0.3580
3862.00,0.3577
3861.00,0.3574
3860.00,0.3572
3859.00,0.3571
3858.00,0.3571
3857.00,0.3572
3856.00,0.3573
3855.00,0.3572
3854.00,0.3572
3853.00,0.3572
3852.00,0.3572
3851.00,0.3572
3850.00,0.3570
3849.00,0.3568
3848.00,0.3566
3847.00,0.3565
3846.00,0.3563
3845.00,0.3561
3844.00,0.3560
3843.00,0.3560
3842.00,0.3561
3841.00,0.3561
3840.00,0.3562
3839.00,0.3563
3838.00,0.3563
3837.00,0.3563
3836.00,0.3562
3835.00,0.3560
3834.00,0.3558
3833.00,0.3556
3832.00,0.3554
3831.00,0.3551
3830.00,0.3548
3829.00,0.3545
3828.00,0.3543
3827.00,0.3542
3826.00,0.3542
3825.00,0.3542
3824.00,0.3542
3823.00,0.3541
3822.00,0.3541
3821.00,0.3541
3820.00,0.3540
3819.00,0.3538
3818.00,0.3535
3817.00,0.3532
3816.00,0.3529
3815.00,0.3526
3814.00,0.3523
3813.00,0.3519
3812.00,0.3517
3811.00,0.3515
3810.00,0.3513
3809.00,0.3511
