Created as New Dataset,
cm-1,A
4000.00,0.3834
3999.00,0.3834
3998.00,0.3833
3997.00,0.3832
3996.00,0.3830
3995.00,0.3828
3994.00,0.3827
3993.00,0.3824
3992.00,0.3822
3991.00,0.3819
3990.00,0.3815
3989.00,0.3811
3988.00,0.3807
3987.00,0.3802
3986.00,0.3797
3985.00,0.3792
3984.00,0.3786
3983.00,0.3781
3982.00,0.3776
3981.00,0.3772
3980.00,0.3768
3979.00,0.3764
3978.00,0.3760
3977.00,0.3756
3976.00,0.3753
3975.00,0.3750
3974.00,0.3747
3973.00,0.3745
3972.00,0.3742
3971.00,0.3738
3970.00,0.3734
3969.00,0.3731
3968.00,0.3727
3967.00,0.3723
3966.00,0.3719
3965.00,0.3715
3964.00,0.3710
3963.00,0.3705
3962.00,0.3699
3961.00,0.3694
3960.00,0.3690
3959.00,0.3686
3958.00,0.3682
3957.00,0.3677
3956.00,0.3673
3955.00,0.3668
3954.00,0.3665
3953.00,0.3662
3952.00,0.3659
3951.00,0.3655
3950.00,0.3652
3949.00,0.3648
3948.00,0.3645
3947.00,0.3642
3946.00,0.3639
3945.00,0.3637
3944.00,0.3636
3943.00,0.3634
3942.00,0.3631
3941.00,0.3629
3940.00,0.3628
3939.00,0.3627
3938.00,0.3625
3937.00,0.3624
3936.00,0.3622
3935.00,0.3621
3934.00,0.3621
3933.00,0.3620
3932.00,0.3619
3931.00,0.3619
3930.00,0.3618
3929.00,0.3617
3928.00,0.3617
3927.00,0.3617
3926.00,0.3617
3925.00,0.3617
3924.00,0.3616
3923.00,0.3615
3922.00,0.3615
3921.00,0.3615
3920.00,0.3614
3919.00,0.3614
3918.00,0.3613
3917.00,0.3612
3916.00,0.3610
3915.00,0.3609
3914.00,0.3608
3913.00,0.3607
3912.00,0.3606
3911.00,0.3604
3910.00,0.3603
3909.00,0.3602
3908.00,0.3601
3907.00,0.3600
3906.00,0.3599
3905.00,0.3597
3904.00,0.3596
3903.00,0.3594
3902.00,0.3593
3901.00,0.3593
3900.00,0.3592
3899.00,0.3591
3898.00,0.3591
3897.00,0.3590
3896.00,0.3590
3895.00,0.3590
3894.00,0.3589
3893.00,0.3588
3892.00,0.3586
3891.00,0.3584
3890.00,0.3582
3889.00,0.3580
3888.00,0.3578
3887.00,0.3577
3886.00,0.3575
3885.00,0.3573
3884.00,0.3572
3883.00,0.3572
3882.00,0.3572
3881.00,0.3572
3880.00,0.3571
3879.00,0.3569
3878.00,0.3569
3877.00,0.3569
3876.00,0.3569
3875.00,0.3568
3874.00,0.3567
3873.00,0.3565
3872.00,0.3564
3871.00,0.3563
3870.00,0.3562
3869.00,0.3560
3868.00,0.3558
3867.00,0.3559
3866.00,0.3559
3865.00,0.3558
3864.00,0.3556
3863.00,0.3554
3862.00,0.3552
3861.00,0.3551
3860.00,0.3551
3859.00,0.3550
3858.00,0.3550
3857.00,0.3549
3856.00,0.3547
3855.00,0.3546
3854.00,0.3545
3853.00,0.3545
3852.00,0.3545
3851.00,0.3544
3850.00,0.3544
3849.00,0.3543
3848.00,0.3541
3847.00,0.3542
3846.00,0.3543
3845.00,0.3545
3844.00,0.3545
3843.00,0.3544
3842.00,0.3543
3841.00,0.3542
3840.00,0.3541
3839.00,0.3541
3838.00,0.3540
3837.00,0.3538
3836.00,0.3536
3835.00,0.3534
3834.00,0.3532
3833.00,0.3529
3832.00,0.3528
3831.00,0.3527
3830.00,0.3526
3829.00,0.3524
3828.00,0.3523
3827.00,0.3521
3826.00,0.3519
3825.00,0.3518
3824.00,0.3517
3823.00,0.3516
3822.00,0.3515
3821.00,0.3512
3820.00,0.3510
3819.00,0.3508
3818.00,0.3507
3817.00,0.3506
3816.00,0.3503
3815.00,0.3499
3814.00,0.3497
3813.00,0.3495
3812.00,0.3494
3811.00,0.3493
3810.00,0.3491
3809.00,0.3490
3808.00,0.3489
3807.00,0.3487
3806.00,0.3485
3805.00,0.3483
3804.00,0.3483
