Created as New Dataset,
cm-1,A
4000.00,0.3645
3999.00,0.3642
3998.00,0.3639
3997.00,0.3636
3996.00,0.3633
3995.00,0.3629
3994.00,0.3625
3993.00,0.3621
3992.00,0.3618
3991.00,0.3614
3990.00,0.3611
3989.00,0.3607
3988.00,0.3603
3987.00,0.3598
3986.00,0.3594
3985.00,0.3589
3984.00,0.3585
3983.00,0.3581
3982.00,0.3577
3981.00,0.3573
3980.00,0.3570
3979.00,0.3566
3978.00,0.3563
3977.00,0.3559
3976.00,0.3555
3975.00,0.3551
3974.00,0.3548
3973.00,0.3545
3972.00,0.3542
3971.00,0.3540
3970.00,0.3538
3969.00,0.3536
3968.00,0.3534
3967.00,0.3532
3966.00,0.3529
3965.00,0.3527
3964.00,0.3525
3963.00,0.3523
3962.00,0.3521
3961.00,0.3520
3960.00,0.3518
3959.00,0.3517
3958.00,0.3515
3957.00,0.3513
3956.00,0.3512
3955.00,0.3511
3954.00,0.3509
3953.00,0.3507
3952.00,0.3504
3951.00,0.3502
3950.00,0.3500
3949.00,0.3499
3948.00,0.3497
3947.00,0.3496
3946.00,0.3495
3945.00,0.3495
3944.00,0.3493
3943.00,0.3492
3942.00,0.3491
3941.00,0.3491
3940.00,0.3491
3939.00,0.3490
3938.00,0.3490
3937.00,0.3489
3936.00,0.3488
3935.00,0.3488
3934.00,0.3487
3933.00,0.3487
3932.00,0.3487
3931.00,0.3487
3930.00,0.3488
3929.00,0.3488
3928.00,0.3487
3927.00,0.3487
3926.00,0.3487
3925.00,0.3487
3924.00,0.3487
3923.00,0.3488
3922.00,0.3488
3921.00,0.3488
3920.00,0.3487
3919.00,0.3486
3918.00,0.3486
3917.00,0.3486
3916.00,0.3486
3915.00,0.3486
3914.00,0.3486
3913.00,0.3485
3912.00,0.3484
3911.00,0.3483
3910.00,0.3482
3909.00,0.3481
3908.00,0.3480
3907.00,0.3479
3906.00,0.3479
3905.00,0.3478
3904.00,0.3477
3903.00,0.3476
3902.00,0.3475
3901.00,0.3474
3900.00,0.3473
3899.00,0.3472
3898.00,0.3472
3897.00,0.3473
3896.00,0.3473
3895.00,0.3472
3894.00,0.3471
3893.00,0.3471
3892.00,0.3470
3891.00,0.3469
3890.00,0.3469
3889.00,0.3469
3888.00,0.3469
3887.00,0.3467
3886.00,0.3465
3885.00,0.3463
3884.00,0.3463
3883.00,0.3464
3882.00,0.3462
3881.00,0.3459
3880.00,0.3457
3879.00,0.3458
3878.00,0.3459
3877.00,0.3460
3876.00,0.3457
3875.00,0.3453
3874.00,0.3451
3873.00,0.3452
3872.00,0.3453
3871.00,0.3452
3870.00,0.3448
3869.00,0.3444
3868.00,0.3444
3867.00,0.3444
3866.00,0.3442
3865.00,0.3439
3864.00,0.3437
3863.00,0.3438
3862.00,0.3439
3861.00,0.3438
3860.00,0.3437
3859.00,0.3436
3858.00,0.3436
3857.00,0.3438
3856.00,0.3441
3855.00,0.3444
3854.00,0.3443
3853.00,0.3437
3852.00,0.3436
3851.00,0.3439
3850.00,0.3440
3849.00,0.3435
3848.00,0.3431
3847.00,0.3429
3846.00,0.3430
3845.00,0.3430
3844.00,0.3430
3843.00,0.3429
3842.00,0.3428
3841.00,0.3428
3840.00,0.3427
3839.00,0.3426
3838.00,0.3424
3837.00,0.3422
3836.00,0.3422
3835.00,0.3422
3834.00,0.3421
3833.00,0.3419
3832.00,0.3418
3831.00,0.3417
3830.00,0.3417
3829.00,0.3417
3828.00,0.3416
3827.00,0.3414
3826.00,0.3412
3825.00,0.3413
3824.00,0.3414
3823.00,0.3415
3822.00,0.3414
3821.00,0.3410
3820.00,0.3409
3819.00,0.3411
3818.00,0.3412
3817.00,0.3409
3816.00,0.3405
3815.00,0.3403
3814.00,0.3403
3813.00,0.3404
3812.00,0.3401
3811.00,0.3397
3810.00,0.3395
3809.00,0.3396
3808.00,0.3396
3807.00,0.3392
3806.00,0.3388
3805.00,0.3386
3804.00,0.3385
3803.00,0.3382
3802.00,0.3377
3801.00,0.3373
3800.00,0.3371
3799.00,0.3371
3798.00,0.3369
3797.00,0.3365
3796.00,0.3362
3795.00,0.3361
3794.00,0.3362
3793.00,0.3362
3792.00,0.3360
3791.00,0.3358
3790.00,0.3357
3789.00,0.3356
3788.00,0.3355
3787.00,0.3354
3786.00,0.3352
3785.00,0.3350
3784.00,0.3349
3783.00,0.3348
3782.00,0.3348
3781.00,0.3348
3780.00,0.3347
3779.00,0.3346
3778.00,0.3345
3777.00,0.3344
3776.00,0.3342
3775.00,0.3340
3774.00,0.3337
3773.00,0.3336
3772.00,0.3336
3771.00,0.3334
3770.00,0.3331
3769.00,0.3329
3768.00,0.3327
3767.00,0.3325
3766.00,0.3322
3765.00,0.3319
3764.00,0.3318
3763.00,0.3317
3762.00,0.3315
3761.00,0.3312
3760.00,0.3309
3759.00,0.3307
3758.00,0.3306
3757.00,0.3303
3756.00,0.3301
3755.00,0.3299
3754.00,0.3298
3753.00,0.3297
3752.00,0.3297
3751.00,0.3295
3750.00,0.3292
3749.00,0.3290
3748.00,0.3289
3747.00,0.3290
3746.00,0.3291
3745.00,0.3290
3744.00,0.3288
3743.00,0.3288
3742.00,0.3291
3741.00,0.3291
3740.00,0.3287
3739.00,0.3283
3738.00,0.3283
3737.00,0.3284
3736.00,0.3283
3735.00,0.3280
3734.00,0.3279
3733.00,0.3279
3732.00,0.3278
