Created as New Dataset,
cm-1,A
4000.00,0.3644
3999.00,0.3641
3998.00,0.3638
3997.00,0.3635
3996.00,0.3632
3995.00,0.3629
3994.00,0.3626
3993.00,0.3623
3992.00,0.3619
3991.00,0.3616
3990.00,0.3613
3989.00,0.3611
3988.00,0.3608
3987.00,0.3605
3986.00,0.3603
3985.00,0.3599
3984.00,0.3596
3983.00,0.3593
3982.00,0.3589
3981.00,0.3586
3980.00,0.3582
3979.00,0.3578
3978.00,0.3574
3977.00,0.3571
3976.00,0.3568
3975.00,0.3565
3974.00,0.3562
3973.00,0.3558
3972.00,0.3555
3971.00,0.3553
3970.00,0.3550
3969.00,0.3548
3968.00,0.3545
3967.00,0.3542
3966.00,0.3538
3965.00,0.3535
3964.00,0.3533
3963.00,0.3531
3962.00,0.3529
3961.00,0.3527
3960.00,0.3524
3959.00,0.3521
3958.00,0.3519
3957.00,0.3517
3956.00,0.3517
3955.00,0.3516
3954.00,0.3515
3953.00,0.3514
3952.00,0.3513
3951.00,0.3512
3950.00,0.3511
3949.00,0.3509
3948.00,0.3508
3947.00,0.3506
3946.00,0.3504
3945.00,0.3503
3944.00,0.3502
3943.00,0.3502
3942.00,0.3501
3941.00,0.3500
3940.00,0.3499
3939.00,0.3498
3938.00,0.3497
3937.00,0.3496
3936.00,0.3495
3935.00,0.3494
3934.00,0.3494
3933.00,0.3494
3932.00,0.3494
3931.00,0.3494
3930.00,0.3493
3929.00,0.3492
3928.00,0.3492
3927.00,0.3492
3926.00,0.3492
3925.00,0.3491
3924.00,0.3490
3923.00,0.3490
3922.00,0.3490
3921.00,0.3490
3920.00,0.3491
3919.00,0.3492
3918.00,0.3492
3917.00,0.3491
3916.00,0.3491
3915.00,0.3490
3914.00,0.3490
3913.00,0.3489
3912.00,0.3490
3911.00,0.3490
3910.00,0.3489
3909.00,0.3489
3908.00,0.3488
3907.00,0.3488
3906.00,0.3488
3905.00,0.3489
3904.00,0.3489
3903.00,0.3488
3902.00,0.3488
3901.00,0.3489
3900.00,0.3491
3899.00,0.3492
3898.00,0.3491
3897.00,0.3490
3896.00,0.3488
3895.00,0.3486
3894.00,0.3483
3893.00,0.3481
3892.00,0.3480
3891.00,0.3478
3890.00,0.3475
3889.00,0.3473
3888.00,0.3472
3887.00,0.3473
3886.00,0.3473
3885.00,0.3473
3884.00,0.3471
3883.00,0.3471
3882.00,0.3472
3881.00,0.3473
3880.00,0.3472
3879.00,0.3470
3878.00,0.3468
3877.00,0.3467
3876.00,0.3467
3875.00,0.3467
3874.00,0.3465
3873.00,0.3462
3872.00,0.3461
3871.00,0.3463
3870.00,0.3464
3869.00,0.3464
3868.00,0.3463
3867.00,0.3462
3866.00,0.3461
3865.00,0.3461
3864.00,0.3460
3863.00,0.3457
3862.00,0.3455
3861.00,0.3453
3860.00,0.3451
3859.00,0.3448
3858.00,0.3445
3857.00,0.3441
3856.00,0.3438
3855.00,0.3437
3854.00,0.3437
3853.00,0.3438
3852.00,0.3437
3851.00,0.3438
3850.00,0.3441
3849.00,0.3444
3848.00,0.3445
3847.00,0.3444
3846.00,0.3443
3845.00,0.3441
3844.00,0.3440
3843.00,0.3438
3842.00,0.3436
3841.00,0.3435
3840.00,0.3434
3839.00,0.3435
3838.00,0.3436
3837.00,0.3436
3836.00,0.3436
3835.00,0.3436
3834.00,0.3438
3833.00,0.3438
3832.00,0.3438
3831.00,0.3436
3830.00,0.3434
3829.00,0.3432
3828.00,0.3431
3827.00,0.3430
3826.00,0.3428
3825.00,0.3426
3824.00,0.3425
3823.00,0.3426
3822.00,0.3427
3821.00,0.3426
3820.00,0.3421
3819.00,0.3417
3818.00,0.3415
3817.00,0.3415
3816.00,0.3415
3815.00,0.3412
3814.00,0.3408
3813.00,0.3405
3812.00,0.3402
3811.00,0.3400
3810.00,0.3397
3809.00,0.3395
3808.00,0.3394
3807.00,0.3393
3806.00,0.3390
3805.00,0.3388
3804.00,0.3386
3803.00,0.3387
3802.00,0.3387
3801.00,0.3385
3800.00,0.3382
3799.00,0.3380
3798.00,0.3380
3797.00,0.3380
3796.00,0.3379
3795.00,0.3376
3794.00,0.3372
3793.00,0.3370
3792.00,0.3368
3791.00,0.3366
3790.00,0.3364
3789.00,0.3363
3788.00,0.3362
3787.00,0.3360
3786.00,0.3359
3785.00,0.3357
3784.00,0.3355
3783.00,0.3354
3782.00,0.3353
3781.00,0.3352
3780.00,0.3351
3779.00,0.3349
3778.00,0.3345
3777.00,0.3342
3776.00,0.3340
3775.00,0.3338
3774.00,0.3336
3773.00,0.3334
3772.00,0.3332
3771.00,0.3331
3770.00,0.3329
3769.00,0.3328
3768.00,0.3327
3767.00,0.3327
3766.00,0.3327
3765.00,0.3326
3764.00,0.3324
3763.00,0.3322
3762.00,0.3321
3761.00,0.3321
3760.00,0.3320
3759.00,0.3319
3758.00,0.3317
3757.00,0.3314
3756.00,0.3311
3755.00,0.3307
3754.00,0.3304
3753.00,0.3302
3752.00,0.3302
3751.00,0.3302
3750.00,0.3301
3749.00,0.3300
3748.00,0.3299
3747.00,0.3297
3746.00,0.3297
3745.00,0.3297
3744.00,0.3296
3743.00,0.3294
3742.00,0.3292
3741.00,0.3291
3740.00,0.3290
3739.00,0.3289
3738.00,0.3287
3737.00,0.3285
3736.00,0.3284
3735.00,0.3282
3734.00,0.3280
3733.00,0.3279
3732.00,0.3279
3731.00,0.3277
3730.00,0.3275
3729.00,0.3274
3728.00,0.3274
3727.00,0.3274
3726.00,0.3273
3725.00,0.3271
3724.00,0.3269
3723.00,0.3267
3722.00,0.3266
3721.00,0.3265
3720.00,0.3264
3719.00,0.3264
3718.00,0.3263
3717.00,0.3262
3716.00,0.3260
3715.00,0.3259
3714.00,0.3259
3713.00,0.3259
3712.00,0.3260
3711.00,0.3261
3710.00,0.3260
3709.00,0.3260
3708.00,0.3259
3707.00,0.3258
3706.00,0.3256
3705.00,0.3255
3704.00,0.3254
3703.00,0.3254
3702.00,0.3253
3701.00,0.3251
3700.00,0.3249
3699.00,0.3248
3698.00,0.3248
3697.00,0.3249
3696.00,0.3248
3695.00,0.3248
3694.00,0.3247
3693.00,0.3247
3692.00,0.3248
3691.00,0.3248
3690.00,0.3248
3689.00,0.3249
3688.00,0.3250
3687.00,0.3251
