Created as New Dataset,
cm-1,A
4000.00,0.3859
3999.00,0.3860
3998.00,0.3860
3997.00,0.3860
3996.00,0.3859
3995.00,0.3858
3994.00,0.3856
3993.00,0.3854
3992.00,0.3851
3991.00,0.3848
3990.00,0.3844
3989.00,0.3839
3988.00,0.3834
3987.00,0.3829
3986.00,0.3824
3985.00,0.3819
3984.00,0.3815
3983.00,0.3810
3982.00,0.3806
3981.00,0.3802
3980.00,0.3797
3979.00,0.3792
3978.00,0.3788
3977.00,0.3783
3976.00,0.3780
3975.00,0.3777
3974.00,0.3774
3973.00,0.3771
3972.00,0.3768
3971.00,0.3765
3970.00,0.3761
3969.00,0.3757
3968.00,0.3754
3967.00,0.3750
3966.00,0.3745
3965.00,0.3741
3964.00,0.3736
3963.00,0.3732
3962.00,0.3727
3961.00,0.3722
3960.00,0.3718
3959.00,0.3713
3958.00,0.3708
3957.00,0.3704
3956.00,0.3701
3955.00,0.3697
3954.00,0.3694
3953.00,0.3691
3952.00,0.3688
3951.00,0.3686
3950.00,0.3683
3949.00,0.3680
3948.00,0.3677
3947.00,0.3674
3946.00,0.3671
3945.00,0.3668
3944.00,0.3665
3943.00,0.3662
3942.00,0.3660
3941.00,0.3658
3940.00,0.3657
3939.00,0.3655
3938.00,0.3654
3937.00,0.3652
3936.00,0.3651
3935.00,0.3650
3934.00,0.3649
3933.00,0.3648
3932.00,0.3648
3931.00,0.3647
3930.00,0.3647
3929.00,0.3647
3928.00,0.3647
3927.00,0.3647
3926.00,0.3646
3925.00,0.3645
3924.00,0.3644
3923.00,0.3644
3922.00,0.3643
3921.00,0.3643
3920.00,0.3643
3919.00,0.3643
3918.00,0.3643
3917.00,0.3643
3916.00,0.3643
3915.00,0.3642
3914.00,0.3641
3913.00,0.3639
3912.00,0.3638
3911.00,0.3637
3910.00,0.3636
3909.00,0.3635
3908.00,0.3634
3907.00,0.3634
3906.00,0.3633
3905.00,0.3633
3904.00,0.3633
3903.00,0.3633
3902.00,0.3633
3901.00,0.3632
3900.00,0.3631
3899.00,0.3630
3898.00,0.3628
3897.00,0.3626
3896.00,0.3624
3895.00,0.3622
3894.00,0.3620
3893.00,0.3618
3892.00,0.3616
3891.00,0.3614
3890.00,0.3613
3889.00,0.3611
3888.00,0.3610
3887.00,0.3609
3886.00,0.3608
3885.00,0.3607
3884.00,0.3606
3883.00,0.3605
3882.00,0.3604
3881.00,0.3604
3880.00,0.3604
3879.00,0.3604
3878.00,0.3603
3877.00,0.3603
3876.00,0.3603
3875.00,0.3603
3874.00,0.3603
3873.00,0.3604
3872.00,0.3604
3871.00,0.3603
3870.00,0.3603
3869.00,0.3602
3868.00,0.3601
3867.00,0.3600
3866.00,0.3598
3865.00,0.3596
3864.00,0.3594
3863.00,0.3592
3862.00,0.3589
3861.00,0.3588
3860.00,0.3587
3859.00,0.3587
3858.00,0.3588
3857.00,0.3587
3856.00,0.3586
3855.00,0.3585
3854.00,0.3584
3853.00,0.3584
3852.00,0.3584
3851.00,0.3583
3850.00,0.3582
3849.00,0.3580
3848.00,0.3579
3847.00,0.3578
3846.00,0.3578
