Created as New Dataset,
cm-1,A
4000.00,0.4056
3999.00,0.4054
3998.00,0.4052
3997.00,0.4050
3996.00,0.4047
3995.00,0.4044
3994.00,0.4040
3993.00,0.4036
3992.00,0.4033
3991.00,0.4029
3990.00,0.4025
3989.00,0.4021
3988.00,0.4016
3987.00,0.4011
3986.00,0.4006
3985.00,0.4000
3984.00,0.3995
3983.00,0.3990
3982.00,0.3985
3981.00,0.3981
3980.00,0.3976
3979.00,0.3972
3978.00,0.3968
3977.00,0.3963
3976.00,0.3959
3975.00,0.3954
3974.00,0.3951
3973.00,0.3948
3972.00,0.3945
3971.00,0.3941
3970.00,0.3936
3969.00,0.3932
3968.00,0.3928
3967.00,0.3924
3966.00,0.3920
3965.00,0.3917
3964.00,0.3913
3963.00,0.3909
3962.00,0.3905
3961.00,0.3902
3960.00,0.3899
3959.00,0.3896
3958.00,0.3893
3957.00,0.3889
3956.00,0.3886
3955.00,0.3883
3954.00,0.3880
3953.00,0.3877
3952.00,0.3874
3951.00,0.3871
3950.00,0.3868
3949.00,0.3866
3948.00,0.3863
3947.00,0.3860
3946.00,0.3858
3945.00,0.3856
3944.00,0.3854
3943.00,0.3853
3942.00,0.3851
3941.00,0.3850
3940.00,0.3848
3939.00,0.3847
3938.00,0.3846
3937.00,0.3844
3936.00,0.3843
3935.00,0.3841
3934.00,0.3840
3933.00,0.3839
3932.00,0.3839
3931.00,0.3839
3930.00,0.3838
3929.00,0.3838
3928.00,0.3837
3927.00,0.3836
3926.00,0.3836
3925.00,0.3835
3924.00,0.3834
3923.00,0.3833
3922.00,0.3833
3921.00,0.3832
3920.00,0.3831
3919.00,0.3830
3918.00,0.3829
3917.00,0.3828
3916.00,0.3828
3915.00,0.3827
3914.00,0.3826
3913.00,0.3825
3912.00,0.3823
3911.00,0.3822
3910.00,0.3820
3909.00,0.3819
3908.00,0.3817
3907.00,0.3814
3906.00,0.3812
3905.00,0.3809
3904.00,0.3806
3903.00,0.3804
3902.00,0.3802
3901.00,0.3800
3900.00,0.3800
3899.00,0.3799
3898.00,0.3800
3897.00,0.3800
3896.00,0.3799
3895.00,0.3797
3894.00,0.3796
3893.00,0.3795
3892.00,0.3793
3891.00,0.3791
3890.00,0.3789
3889.00,0.3788
3888.00,0.3787
3887.00,0.3786
3886.00,0.3784
3885.00,0.3782
3884.00,0.3781
3883.00,0.3780
3882.00,0.3779
3881.00,0.3776
3880.00,0.3773
3879.00,0.3772
3878.00,0.3772
3877.00,0.3771
3876.00,0.3770
3875.00,0.3767
3874.00,0.3765
3873.00,0.3763
3872.00,0.3761
3871.00,0.3759
3870.00,0.3756
3869.00,0.3753
3868.00,0.3752
3867.00,0.3753
3866.00,0.3752
3865.00,0.3750
3864.00,0.3748
3863.00,0.3747
3862.00,0.3747
3861.00,0.3747
3860.00,0.3745
3859.00,0.3745
3858.00,0.3744
3857.00,0.3745
3856.00,0.3746
3855.00,0.3747
3854.00,0.3747
3853.00,0.3745
3852.00,0.3745
3851.00,0.3747
3850.00,0.3748
3849.00,0.3745
3848.00,0.3743
3847.00,0.3742
3846.00,0.3743
3845.00,0.3742
3844.00,0.3741
3843.00,0.3739
3842.00,0.3737
3841.00,0.3735
3840.00,0.3733
3839.00,0.3732
3838.00,0.3730
3837.00,0.3728
3836.00,0.3728
3835.00,0.3727
3834.00,0.3727
3833.00,0.3727
3832.00,0.3726
3831.00,0.3726
3830.00,0.3726
3829.00,0.3725
3828.00,0.3724
3827.00,0.3723
3826.00,0.3721
3825.00,0.3719
3824.00,0.3718
3823.00,0.3718
3822.00,0.3716
3821.00,0.3713
3820.00,0.3710
3819.00,0.3710
3818.00,0.3710
3817.00,0.3710
3816.00,0.3709
3815.00,0.3707
3814.00,0.3708
3813.00,0.3708
3812.00,0.3707
3811.00,0.3705
3810.00,0.3705
3809.00,0.3705
3808.00,0.3705
3807.00,0.3702
3806.00,0.3698
3805.00,0.3695
3804.00,0.3693
3803.00,0.3691
3802.00,0.3688
3801.00,0.3685
3800.00,0.3683
3799.00,0.3683
3798.00,0.3682
3797.00,0.3680
3796.00,0.3677
3795.00,0.3677
3794.00,0.3677
3793.00,0.3676
3792.00,0.3675
3791.00,0.3674
3790.00,0.3672
3789.00,0.3671
3788.00,0.3670
3787.00,0.3668
3786.00,0.3666
3785.00,0.3664
3784.00,0.3663
3783.00,0.3661
3782.00,0.3659
3781.00,0.3658
3780.00,0.3656
3779.00,0.3655
3778.00,0.3654
3777.00,0.3655
3776.00,0.3656
3775.00,0.3656
3774.00,0.3655
3773.00,0.3656
3772.00,0.3656
3771.00,0.3656
3770.00,0.3655
3769.00,0.3654
3768.00,0.3652
3767.00,0.3652
3766.00,0.3651
3765.00,0.3650
3764.00,0.3650
3763.00,0.3651
3762.00,0.3651
3761.00,0.3650
3760.00,0.3649
3759.00,0.3647
3758.00,0.3645
3757.00,0.3644
3756.00,0.3643
3755.00,0.3641
3754.00,0.3640
3753.00,0.3640
3752.00,0.3638
3751.00,0.3637
3750.00,0.3634
3749.00,0.3632
3748.00,0.3631
3747.00,0.3631
3746.00,0.3632
3745.00,0.3632
3744.00,0.3633
3743.00,0.3634
3742.00,0.3637
3741.00,0.3637
3740.00,0.3634
3739.00,0.3631
3738.00,0.3630
3737.00,0.3631
3736.00,0.3630
3735.00,0.3629
3734.00,0.3629
3733.00,0.3631
3732.00,0.3634
3731.00,0.3636
3730.00,0.3638
3729.00,0.3640
3728.00,0.3642
3727.00,0.3642
3726.00,0.3643
3725.00,0.3644
3724.00,0.3646
3723.00,0.3649
3722.00,0.3651
3721.00,0.3654
3720.00,0.3659
3719.00,0.3664
3718.00,0.3670
3717.00,0.3676
3716.00,0.3682
3715.00,0.3690
3714.00,0.3698
3713.00,0.3709
3712.00,0.3721
3711.00,0.3735
3710.00,0.3751
3709.00,0.3769
3708.00,0.3789
3707.00,0.3810
3706.00,0.3833
3705.00,0.3857
3704.00,0.3882
3703.00,0.3909
3702.00,0.3937
3701.00,0.3964
3700.00,0.3990
3699.00,0.4013
