Created as New Dataset,
cm-1,A
4000.00,0.3832
3999.00,0.3830
3998.00,0.3827
3997.00,0.3823
3996.00,0.3819
3995.00,0.3816
3994.00,0.3813
3993.00,0.3809
3992.00,0.3806
3991.00,0.3802
3990.00,0.3798
3989.00,0.3794
3988.00,0.3790
3987.00,0.3785
3986.00,0.3781
3985.00,0.3777
3984.00,0.3773
3983.00,0.3768
3982.00,0.3764
3981.00,0.3760
3980.00,0.3756
3979.00,0.3752
3978.00,0.3748
3977.00,0.3744
3976.00,0.3741
3975.00,0.3738
3974.00,0.3735
3973.00,0.3731
3972.00,0.3729
3971.00,0.3726
3970.00,0.3723
3969.00,0.3721
3968.00,0.3718
3967.00,0.3716
3966.00,0.3713
3965.00,0.3711
3964.00,0.3710
3963.00,0.3708
3962.00,0.3706
3961.00,0.3704
3960.00,0.3703
3959.00,0.3701
3958.00,0.3699
3957.00,0.3698
3956.00,0.3696
3955.00,0.3694
3954.00,0.3693
3953.00,0.3691
3952.00,0.3690
3951.00,0.3688
3950.00,0.3687
3949.00,0.3685
3948.00,0.3685
3947.00,0.3685
3946.00,0.3684
3945.00,0.3683
3944.00,0.3682
3943.00,0.3681
3942.00,0.3681
3941.00,0.3681
3940.00,0.3680
3939.00,0.3679
3938.00,0.3679
3937.00,0.3679
3936.00,0.3678
3935.00,0.3677
3934.00,0.3677
3933.00,0.3677
3932.00,0.3677
3931.00,0.3677
3930.00,0.3676
3929.00,0.3676
3928.00,0.3675
3927.00,0.3674
3926.00,0.3673
3925.00,0.3673
3924.00,0.3672
3923.00,0.3671
3922.00,0.3669
3921.00,0.3668
3920.00,0.3669
3919.00,0.3670
3918.00,0.3670
3917.00,0.3671
3916.00,0.3671
3915.00,0.3671
3914.00,0.3670
3913.00,0.3669
3912.00,0.3668
3911.00,0.3667
3910.00,0.3666
3909.00,0.3664
3908.00,0.3662
3907.00,0.3659
3906.00,0.3657
3905.00,0.3655
3904.00,0.3655
3903.00,0.3656
3902.00,0.3655
3901.00,0.3655
3900.00,0.3656
3899.00,0.3658
3898.00,0.3660
3897.00,0.3660
3896.00,0.3660
3895.00,0.3660
3894.00,0.3658
3893.00,0.3655
3892.00,0.3652
3891.00,0.3652
3890.00,0.3652
3889.00,0.3651
3888.00,0.3646
3887.00,0.3643
3886.00,0.3644
3885.00,0.3647
3884.00,0.3648
3883.00,0.3645
3882.00,0.3641
3881.00,0.3640
3880.00,0.3642
3879.00,0.3644
3878.00,0.3643
3877.00,0.3639
3876.00,0.3634
3875.00,0.3634
3874.00,0.3637
3873.00,0.3637
3872.00,0.3631
3871.00,0.3624
3870.00,0.3623
3869.00,0.3624
3868.00,0.3625
3867.00,0.3622
3866.00,0.3621
3865.00,0.3622
3864.00,0.3624
3863.00,0.3623
3862.00,0.3620
3861.00,0.3616
3860.00,0.3613
3859.00,0.3612
3858.00,0.3612
3857.00,0.3610
3856.00,0.3605
3855.00,0.3601
3854.00,0.3603
3853.00,0.3607
3852.00,0.3610
3851.00,0.3610
3850.00,0.3611
3849.00,0.3613
3848.00,0.3616
3847.00,0.3616
3846.00,0.3615
3845.00,0.3612
3844.00,0.3609
3843.00,0.3607
3842.00,0.3606
3841.00,0.3603
3840.00,0.3600
3839.00,0.3598
3838.00,0.3597
3837.00,0.3598
3836.00,0.3598
3835.00,0.3598
3834.00,0.3598
3833.00,0.3598
3832.00,0.3601
3831.00,0.3604
3830.00,0.3605
3829.00,0.3602
3828.00,0.3597
3827.00,0.3594
3826.00,0.3594
3825.00,0.3594
3824.00,0.3592
