Created as New Dataset,
cm-1,A
4000.00,0.3767
3999.00,0.3767
3998.00,0.3768
3997.00,0.3768
3996.00,0.3768
3995.00,0.3767
3994.00,0.3765
3993.00,0.3762
3992.00,0.3759
3991.00,0.3756
3990.00,0.3752
3989.00,0.3748
3988.00,0.3743
3987.00,0.3738
3986.00,0.3734
3985.00,0.3729
3984.00,0.3725
3983.00,0.3721
3982.00,0.3718
3981.00,0.3714
3980.00,0.3710
3979.00,0.3706
3978.00,0.3702
3977.00,0.3699
3976.00,0.3696
3975.00,0.3693
3974.00,0.3691
3973.00,0.3688
3972.00,0.3685
3971.00,0.3681
3970.00,0.3676
3969.00,0.3672
3968.00,0.3667
3967.00,0.3662
3966.00,0.3657
3965.00,0.3651
3964.00,0.3646
3963.00,0.3640
3962.00,0.3634
3961.00,0.3628
3960.00,0.3623
3959.00,0.3617
3958.00,0.3612
3957.00,0.3607
3956.00,0.3602
3955.00,0.3598
3954.00,0.3593
3953.00,0.3590
3952.00,0.3586
3951.00,0.3583
3950.00,0.3580
3949.00,0.3578
3948.00,0.3575
3947.00,0.3573
3946.00,0.3572
3945.00,0.3570
3944.00,0.3567
3943.00,0.3565
3942.00,0.3564
3941.00,0.3562
3940.00,0.3561
3939.00,0.3560
3938.00,0.3558
3937.00,0.3557
3936.00,0.3556
3935.00,0.3556
3934.00,0.3556
3933.00,0.3556
3932.00,0.3556
3931.00,0.3556
3930.00,0.3556
3929.00,0.3556
3928.00,0.3556
3927.00,0.3556
3926.00,0.3556
3925.00,0.3555
3924.00,0.3554
3923.00,0.3554
3922.00,0.3554
3921.00,0.3554
3920.00,0.3554
3919.00,0.3554
3918.00,0.3554
3917.00,0.3553
3916.00,0.3551
3915.00,0.3549
3914.00,0.3547
3913.00,0.3545
3912.00,0.3543
3911.00,0.3542
3910.00,0.3541
3909.00,0.3540
3908.00,0.3540
3907.00,0.3541
3906.00,0.3543
3905.00,0.3545
3904.00,0.3546
3903.00,0.3547
3902.00,0.3548
