Created as New Dataset,
cm-1,A
4000.00,0.3473
3999.00,0.3470
3998.00,0.3467
3997.00,0.3465
3996.00,0.3463
3995.00,0.3460
3994.00,0.3457
3993.00,0.3454
3992.00,0.3450
3991.00,0.3447
3990.00,0.3444
3989.00,0.3440
3988.00,0.3437
3987.00,0.3433
3986.00,0.3429
3985.00,0.3424
3984.00,0.3420
3983.00,0.3417
3982.00,0.3414
3981.00,0.3410
3980.00,0.3407
3979.00,0.3404
3978.00,0.3401
3977.00,0.3397
3976.00,0.3394
3975.00,0.3391
3974.00,0.3387
3973.00,0.3384
3972.00,0.3379
3971.00,0.3375
3970.00,0.3371
3969.00,0.3367
3968.00,0.3364
3967.00,0.3361
3966.00,0.3358
3965.00,0.3354
3964.00,0.3349
3963.00,0.3345
3962.00,0.3341
3961.00,0.3337
3960.00,0.3335
3959.00,0.3333
3958.00,0.3330
3957.00,0.3328
3956.00,0.3326
3955.00,0.3324
3954.00,0.3322
3953.00,0.3321
3952.00,0.3319
3951.00,0.3317
3950.00,0.3316
3949.00,0.3314
3948.00,0.3312
3947.00,0.3311
3946.00,0.3309
3945.00,0.3308
3944.00,0.3307
3943.00,0.3306
3942.00,0.3304
3941.00,0.3303
3940.00,0.3302
3939.00,0.3301
3938.00,0.3300
3937.00,0.3300
3936.00,0.3300
3935.00,0.3300
3934.00,0.3300
3933.00,0.3299
3932.00,0.3298
3931.00,0.3298
3930.00,0.3297
3929.00,0.3295
3928.00,0.3294
3927.00,0.3293
3926.00,0.3293
3925.00,0.3293
3924.00,0.3292
3923.00,0.3292
3922.00,0.3292
3921.00,0.3291
3920.00,0.3291
3919.00,0.3290
3918.00,0.3290
3917.00,0.3289
3916.00,0.3289
3915.00,0.3288
3914.00,0.3287
3913.00,0.3286
3912.00,0.3285
3911.00,0.3285
3910.00,0.3284
3909.00,0.3283
3908.00,0.3281
3907.00,0.3280
3906.00,0.3279
3905.00,0.3277
3904.00,0.3276
3903.00,0.3275
3902.00,0.3273
3901.00,0.3271
3900.00,0.3270
3899.00,0.3269
3898.00,0.3267
3897.00,0.3265
3896.00,0.3263
3895.00,0.3261
3894.00,0.3259
3893.00,0.3257
3892.00,0.3255
3891.00,0.3254
3890.00,0.3252
3889.00,0.3251
3888.00,0.3251
3887.00,0.3250
3886.00,0.3250
3885.00,0.3250
3884.00,0.3250
3883.00,0.3248
3882.00,0.3247
3881.00,0.3246
3880.00,0.3245
3879.00,0.3244
3878.00,0.3244
3877.00,0.3243
3876.00,0.3243
3875.00,0.3243
3874.00,0.3242
3873.00,0.3241
3872.00,0.3239
3871.00,0.3238
3870.00,0.3237
3869.00,0.3236
3868.00,0.3235
3867.00,0.3233
3866.00,0.3232
3865.00,0.3230
3864.00,0.3229
3863.00,0.3227
3862.00,0.3224
3861.00,0.3222
3860.00,0.3221
3859.00,0.3221
3858.00,0.3220
3857.00,0.3220
3856.00,0.3220
3855.00,0.3220
3854.00,0.3220
3853.00,0.3220
3852.00,0.3220
3851.00,0.3220
3850.00,0.3219
3849.00,0.3219
3848.00,0.3218
3847.00,0.3218
3846.00,0.3217
3845.00,0.3217
3844.00,0.3216
3843.00,0.3216
3842.00,0.3216
3841.00,0.3215
3840.00,0.3215
3839.00,0.3215
3838.00,0.3215
3837.00,0.3215
3836.00,0.3214
3835.00,0.3212
3834.00,0.3210
3833.00,0.3208
3832.00,0.3206
3831.00,0.3204
3830.00,0.3202
3829.00,0.3201
3828.00,0.3199
3827.00,0.3198
3826.00,0.3198
3825.00,0.3197
3824.00,0.3196
3823.00,0.3195
3822.00,0.3194
3821.00,0.3193
3820.00,0.3192
3819.00,0.3191
3818.00,0.3191
3817.00,0.3191
3816.00,0.3191
3815.00,0.3190
3814.00,0.3187
3813.00,0.3185
3812.00,0.3183
3811.00,0.3183
3810.00,0.3182
3809.00,0.3181
3808.00,0.3180
3807.00,0.3178
3806.00,0.3177
3805.00,0.3176
3804.00,0.3175
3803.00,0.3174
3802.00,0.3173
3801.00,0.3172
3800.00,0.3171
3799.00,0.3169
3798.00,0.3166
3797.00,0.3163
3796.00,0.3160
3795.00,0.3158
3794.00,0.3155
3793.00,0.3152
3792.00,0.3149
3791.00,0.3146
3790.00,0.3144
3789.00,0.3142
3788.00,0.3140
3787.00,0.3139
3786.00,0.3139
3785.00,0.3138
3784.00,0.3138
3783.00,0.3138
3782.00,0.3138
3781.00,0.3138
3780.00,0.3137
3779.00,0.3136
3778.00,0.3135
3777.00,0.3135
3776.00,0.3135
3775.00,0.3135
3774.00,0.3136
3773.00,0.3137
3772.00,0.3137
3771.00,0.3136
3770.00,0.3136
3769.00,0.3135
3768.00,0.3135
3767.00,0.3134
3766.00,0.3134
3765.00,0.3133
3764.00,0.3132
3763.00,0.3130
3762.00,0.3128
3761.00,0.3126
3760.00,0.3124
3759.00,0.3123
3758.00,0.3122
3757.00,0.3121
3756.00,0.3121
3755.00,0.3121
3754.00,0.3121
3753.00,0.3121
3752.00,0.3121
3751.00,0.3121
3750.00,0.3121
3749.00,0.3122
3748.00,0.3122
3747.00,0.3122
3746.00,0.3122
3745.00,0.3123
3744.00,0.3125
3743.00,0.3126
3742.00,0.3126
3741.00,0.3126
3740.00,0.3127
3739.00,0.3128
3738.00,0.3128
3737.00,0.3128
3736.00,0.3127
3735.00,0.3126
3734.00,0.3125
3733.00,0.3124
3732.00,0.3124
3731.00,0.3124
3730.00,0.3123
3729.00,0.3121
3728.00,0.3119
3727.00,0.3117
3726.00,0.3115
3725.00,0.3114
3724.00,0.3114
3723.00,0.3113
3722.00,0.3112
3721.00,0.3111
3720.00,0.3110
3719.00,0.3110
3718.00,0.3112
3717.00,0.3113
3716.00,0.3115
3715.00,0.3117
3714.00,0.3120
3713.00,0.3123
3712.00,0.3127
3711.00,0.3130
3710.00,0.3134
3709.00,0.3137
3708.00,0.3140
3707.00,0.3143
3706.00,0.3146
3705.00,0.3150
3704.00,0.3154
3703.00,0.3157
3702.00,0.3161
3701.00,0.3165
3700.00,0.3170
3699.00,0.3175
3698.00,0.3180
3697.00,0.3185
3696.00,0.3191
3695.00,0.3196
3694.00,0.3202
3693.00,0.3208
3692.00,0.3215
3691.00,0.3223
3690.00,0.3231
3689.00,0.3241
3688.00,0.3251
3687.00,0.3261
3686.00,0.3269
3685.00,0.3278
3684.00,0.3286
3683.00,0.3294
3682.00,0.3302
3681.00,0.3310
3680.00,0.3319
3679.00,0.3327
3678.00,0.3335
3677.00,0.3343
3676.00,0.3353
3675.00,0.3362
3674.00,0.3372
3673.00,0.3380
3672.00,0.3389
3671.00,0.3398
3670.00,0.3408
3669.00,0.3417
3668.00,0.3425
3667.00,0.3433
3666.00,0.3441
3665.00,0.3450
3664.00,0.3458
3663.00,0.3467
3662.00,0.3476
3661.00,0.3485
3660.00,0.3494
3659.00,0.3503
3658.00,0.3514
3657.00,0.3525
3656.00,0.3538
3655.00,0.3550
3654.00,0.3562
3653.00,0.3576
3652.00,0.3593
3651.00,0.3617
3650.00,0.3647
3649.00,0.3682
3648.00,0.3716
3647.00,0.3743
3646.00,0.3759
3645.00,0.3763
3644.00,0.3759
3643.00,0.3751
3642.00,0.3745
3641.00,0.3741
3640.00,0.3742
3639.00,0.3746
3638.00,0.3754
3637.00,0.3764
3636.00,0.3776
3635.00,0.3790
3634.00,0.3805
3633.00,0.3820
3632.00,0.3836
